frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.5515999794006348,0.18019999563694,0.12806,0.1225,0.131,0.1182,0.24144,0.1964,0.3513,0.19288,0.18372,0.1639,0.184,0.16804,0.23228,0.1866,0.2385,0.19726,0.28112,0.2029,0.3477,0.21418,0.30748,0.1792,0.1972,0.2129
True,0.5286399722099304,0.18490000069141388,0.13908,0.1275,0.1375,0.12736,0.24666,0.2074,0.3672,0.19572,0.1839,0.1602,0.1779,0.1723,0.242,0.1921,0.2492,0.20776,0.2886,0.2129,0.3586,0.2212,0.29602,0.1783,0.1962,0.2166
True,0.5568400025367737,0.1876000016927719,0.1294,0.1227,0.1288,0.1214,0.24136,0.2041,0.3578,0.19364,0.18548,0.1628,0.1863,0.17134,0.23736,0.189,0.2434,0.20412,0.28416,0.2108,0.3568,0.219,0.31096,0.1831,0.2043,0.2178
True,0.559499979019165,0.18160000443458557,0.13314,0.1286,0.1394,0.12366,0.2463,0.2044,0.3599,0.19466,0.18546,0.1672,0.1888,0.17066,0.23956,0.1906,0.2427,0.20342,0.289,0.21,0.3548,0.22102,0.30244,0.1762,0.1946,0.21532
True,0.5620999932289124,0.17730000615119934,0.13368,0.1265,0.1359,0.1281,0.2449,0.2044,0.3689,0.19194,0.1819,0.1616,0.1816,0.16914,0.23728,0.1969,0.2409,0.20184,0.2855,0.2126,0.3522,0.21904,0.30626,0.1774,0.193,0.21394
True,0.5913800001144409,0.18770000338554382,0.13852,0.1292,0.1395,0.12732,0.24672,0.2052,0.3647,0.19576,0.19012,0.1657,0.1834,0.17548,0.24222,0.1955,0.2536,0.20496,0.28988,0.215,0.3611,0.22244,0.318,0.1822,0.2046,0.22166
True,0.5853400230407715,0.18569999933242798,0.14642,0.1381,0.1526,0.13282,0.24962,0.2056,0.3725,0.19764,0.18898,0.1631,0.1883,0.17776,0.2438,0.1893,0.2476,0.20844,0.29492,0.211,0.356,0.22552,0.32098,0.182,0.2066,0.22638
True,0.5690600275993347,0.18279999494552612,0.13322,0.1261,0.1308,0.11816,0.24728,0.2034,0.3653,0.19486,0.18218,0.1593,0.1765,0.16814,0.23634,0.1924,0.2395,0.1973,0.28412,0.2079,0.3499,0.21546,0.31006,0.1828,0.2055,0.21546
True,0.553820013999939,0.18790000677108765,0.13922,0.1305,0.1389,0.12584,0.24632,0.2038,0.366,0.19334,0.1818,0.1638,0.1817,0.1706,0.23528,0.1895,0.2419,0.20136,0.28624,0.214,0.3531,0.2204,0.3098,0.1811,0.2067,0.22404
True,0.5307599902153015,0.17990000545978546,0.12766,0.1208,0.1266,0.11898,0.23942,0.2027,0.3515,0.19118,0.18186,0.1611,0.1811,0.17032,0.23118,0.1893,0.2435,0.19712,0.27908,0.209,0.352,0.21622,0.29588,0.1782,0.1957,0.214
True,0.5442799925804138,0.188400000333786,0.12868,0.1203,0.1291,0.11774,0.24316,0.2049,0.3599,0.19264,0.18494,0.1621,0.1764,0.1673,0.23606,0.189,0.2388,0.19968,0.28322,0.2062,0.3533,0.2163,0.31352,0.1808,0.2006,0.22414
True,0.5374600291252136,0.18310000002384186,0.13144,0.1234,0.1316,0.12196,0.2461,0.204,0.3601,0.19438,0.18796,0.1649,0.1818,0.16902,0.23718,0.1942,0.2422,0.20056,0.28772,0.2116,0.3542,0.22008,0.29406,0.1686,0.193,0.21186
True,0.537559986114502,0.18070000410079956,0.13286,0.1263,0.1365,0.12408,0.24076,0.2027,0.3507,0.19442,0.18272,0.162,0.1868,0.17034,0.2356,0.1907,0.2427,0.20158,0.28768,0.2106,0.3542,0.21888,0.2883,0.1776,0.1856,0.20448
True,0.5642200112342834,0.1875,0.13388,0.129,0.1337,0.12146,0.2433,0.2029,0.3636,0.19352,0.18402,0.1639,0.1822,0.17104,0.23702,0.1927,0.2487,0.20138,0.28616,0.2139,0.3552,0.21908,0.31528,0.1854,0.2037,0.21984
True,0.5299599766731262,0.17579999566078186,0.1325,0.1203,0.1262,0.12208,0.24202,0.2014,0.367,0.19174,0.17976,0.155,0.1771,0.16882,0.23654,0.1942,0.2454,0.19916,0.28392,0.2094,0.3519,0.2153,0.29082,0.1749,0.1945,0.20972
True,0.5464000105857849,0.19220000505447388,0.13698,0.1298,0.1437,0.13016,0.24752,0.205,0.3664,0.19756,0.1902,0.1708,0.1874,0.17262,0.2473,0.1979,0.2488,0.20754,0.29874,0.2175,0.3571,0.22564,0.31274,0.1781,0.194,0.22162
True,0.5464000105857849,0.179299995303154,0.1333,0.1294,0.1293,0.12044,0.24018,0.2009,0.3553,0.19096,0.18446,0.1685,0.1869,0.17104,0.2335,0.1942,0.2392,0.19762,0.28138,0.2099,0.3589,0.21544,0.30016,0.1771,0.1992,0.21528
