position,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
alternating,True,0.5755199790000916,0.1858000010251999,0.13038,0.1232,0.24204,0.2027,0.1893,0.1641,0.23536,0.1871,0.28612,0.2077,0.32252,0.1807
alternating,True,0.559660017490387,0.1898999959230423,0.1285,0.1238,0.24372,0.2049,0.18458,0.163,0.23142,0.1876,0.2854,0.2106,0.30574,0.1837
alternating,True,0.5686200261116028,0.17829999327659607,0.13176,0.1269,0.24328,0.2035,0.1869,0.1669,0.2329,0.1882,0.28512,0.2095,0.3126,0.1786
alternating,True,0.5241000056266785,0.18809999525547028,0.1287,0.1206,0.24254,0.1998,0.18176,0.1599,0.23704,0.188,0.28656,0.2057,0.29408,0.1715
alternating,True,0.4693000018596649,0.18060000240802765,0.11578,0.1095,0.23266,0.1967,0.16524,0.1497,0.22336,0.1867,0.27176,0.204,0.28044,0.1725
alternating,True,0.47435998916625977,0.18060000240802765,0.1095,0.1048,0.23324,0.2016,0.1654,0.1501,0.22112,0.1825,0.26808,0.2001,0.28224,0.1732
alternating,True,0.5214999914169312,0.19009999930858612,0.12812,0.1199,0.2399,0.2027,0.17952,0.1576,0.2348,0.1876,0.28502,0.205,0.3073,0.176
alternating,True,0.5138000249862671,0.17560000717639923,0.12356,0.1155,0.24058,0.1971,0.17904,0.1585,0.2286,0.1868,0.27506,0.2039,0.28616,0.1734
alternating,True,0.538640022277832,0.18400000035762787,0.13522,0.1287,0.24394,0.2055,0.18212,0.1619,0.23958,0.1919,0.28756,0.2093,0.29964,0.1777
alternating,True,0.5524399876594543,0.18449999392032623,0.13108,0.1254,0.24344,0.2061,0.18604,0.165,0.22888,0.1912,0.28234,0.2134,0.30482,0.1792
alternating,True,0.5662400126457214,0.17980000376701355,0.13172,0.1231,0.24238,0.2042,0.18434,0.1675,0.24284,0.1959,0.29024,0.2134,0.30614,0.1762
alternating,True,0.5413200259208679,0.18700000643730164,0.12936,0.1207,0.24272,0.2022,0.18258,0.1641,0.23432,0.1898,0.28354,0.2079,0.29254,0.1744
alternating,True,0.4883800148963928,0.17820000648498535,0.11772,0.1111,0.23728,0.1994,0.1754,0.1523,0.22926,0.1871,0.27046,0.2066,0.2814,0.1759
alternating,True,0.4980599880218506,0.1809999942779541,0.1238,0.119,0.2362,0.2032,0.17354,0.1588,0.22498,0.1885,0.27316,0.2065,0.2902,0.1753
alternating,True,0.5472800135612488,0.18479999899864197,0.13222,0.1226,0.24298,0.2041,0.18014,0.1611,0.2331,0.1844,0.28382,0.2097,0.30566,0.1812
alternating,True,0.5309200286865234,0.18029999732971191,0.12172,0.1152,0.23914,0.203,0.17924,0.1645,0.23048,0.1881,0.27528,0.2059,0.30314,0.1795
alternating,True,0.5415599942207336,0.17260000109672546,0.11948,0.1142,0.23586,0.1991,0.17978,0.1595,0.22992,0.186,0.27414,0.2022,0.29008,0.1771
alternating,True,0.5034800171852112,0.18850000202655792,0.13142,0.1243,0.24418,0.2028,0.17536,0.1581,0.23364,0.185,0.28428,0.2075,0.3013,0.1764
alternating,True,0.5493000149726868,0.18070000410079956,0.13446,0.1246,0.24396,0.202,0.18082,0.1608,0.23784,0.191,0.28558,0.2085,0.3001,0.1749
alternating,True,0.5126799941062927,0.18140000104904175,0.12032,0.1147,0.2403,0.2001,0.17116,0.1572,0.22842,0.1891,0.276,0.2069,0.28554,0.1782
alternating,True,0.542959988117218,0.18569999933242798,0.1308,0.1262,0.24246,0.2039,0.17424,0.1557,0.2295,0.1872,0.27814,0.2091,0.31224,0.1842
alternating,True,0.5087599754333496,0.1867000013589859,0.12992,0.1223,0.23946,0.2054,0.16974,0.1553,0.23162,0.1891,0.27838,0.2043,0.30054,0.1785
alternating,True,0.5612599849700928,0.18809999525547028,0.13966,0.1316,0.24772,0.2039,0.18574,0.1628,0.23872,0.19,0.28794,0.2116,0.3086,0.1803
