regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.001,True,0.008840000256896019,0.009999999776482582,0.1675,0.1408,0.20014,0.1592,0.1434,0.127,0.13674,0.12,0.15092,0.1115,0.01,0.01
l1_0.001,True,0.009159999899566174,0.009999999776482582,0.16634,0.1408,0.199,0.1591,0.13994,0.1274,0.13258,0.1194,0.15108,0.1162,0.01,0.01
l1_0.001,True,0.009200000204145908,0.009999999776482582,0.1595,0.1411,0.19642,0.1568,0.13746,0.1278,0.13258,0.1211,0.15076,0.1145,0.01,0.01
l1_0.001,True,0.008460000157356262,0.009999999776482582,0.16292,0.143,0.1992,0.1581,0.13978,0.1233,0.13076,0.1157,0.15198,0.1124,0.01,0.01
l1_0.001,True,0.008419999852776527,0.009999999776482582,0.1646,0.1404,0.19722,0.1583,0.14944,0.1335,0.13782,0.1248,0.15566,0.1195,0.01,0.01
l1_0.001,True,0.00863999966531992,0.009999999776482582,0.16466,0.1415,0.1995,0.1618,0.13958,0.1275,0.13004,0.1197,0.14972,0.1157,0.01,0.01
l1_0.001,True,0.00887999963015318,0.009999999776482582,0.16288,0.1398,0.19592,0.1603,0.14392,0.1283,0.13232,0.1217,0.14858,0.1182,0.01,0.01
l1_0.001,True,0.008179999887943268,0.009999999776482582,0.16568,0.1391,0.20022,0.1606,0.14058,0.1287,0.13278,0.1201,0.14644,0.1131,0.01,0.01
l1_0.001,True,0.008779999800026417,0.009999999776482582,0.16306,0.1429,0.19224,0.1573,0.13366,0.1273,0.12884,0.1214,0.14844,0.1136,0.01,0.01
l1_0.001,True,0.008980000391602516,0.009999999776482582,0.16404,0.1431,0.19808,0.16,0.13874,0.1279,0.12996,0.1198,0.1502,0.115,0.01,0.01
l1_0.001,True,0.008860000409185886,0.009999999776482582,0.16112,0.1415,0.19696,0.1588,0.13992,0.1297,0.13196,0.1232,0.15048,0.1141,0.01,0.01
l1_0.001,True,0.009220000356435776,0.009999999776482582,0.1634,0.1423,0.19738,0.1561,0.13904,0.1227,0.1252,0.114,0.14548,0.1137,0.01,0.01
l1_0.001,True,0.008679999969899654,0.009999999776482582,0.16424,0.1432,0.20076,0.1652,0.13856,0.126,0.13206,0.1216,0.1498,0.1158,0.01,0.01
l1_0.001,True,0.008659999817609787,0.009999999776482582,0.16546,0.1435,0.19578,0.1617,0.13192,0.1223,0.12452,0.1176,0.14712,0.1149,0.01,0.01
l1_0.001,True,0.007840000092983246,0.009999999776482582,0.16364,0.1394,0.19562,0.1615,0.13592,0.1214,0.12858,0.1181,0.14756,0.1125,0.01,0.01
l1_0.001,True,0.009080000221729279,0.009999999776482582,0.16248,0.1395,0.19528,0.1598,0.13616,0.1253,0.12112,0.1116,0.14614,0.1047,0.01,0.01
l1_0.001,True,0.008740000426769257,0.009999999776482582,0.16678,0.1431,0.19916,0.1651,0.13806,0.1259,0.1329,0.1199,0.15182,0.1132,0.01,0.01
l1_0.001,True,0.007960000075399876,0.009999999776482582,0.16416,0.1394,0.20266,0.1558,0.1378,0.1276,0.13032,0.1178,0.15512,0.1213,0.01,0.01
l1_0.001,True,0.009080000221729279,0.009999999776482582,0.1662,0.1444,0.20326,0.1604,0.13868,0.1243,0.1351,0.1219,0.15194,0.1184,0.01,0.01
l1_0.001,True,0.008220000192523003,0.009999999776482582,0.16338,0.1411,0.20098,0.1606,0.14068,0.1289,0.13226,0.1194,0.15288,0.1144,0.01,0.01
l1_0.001,True,0.008940000087022781,0.009999999776482582,0.16004,0.1367,0.19782,0.1607,0.13556,0.1254,0.12932,0.117,0.1453,0.1144,0.01,0.01
l1_0.001,True,0.008659999817609787,0.009999999776482582,0.16138,0.14,0.1947,0.1588,0.13726,0.1264,0.12402,0.1147,0.14454,0.1122,0.01,0.01
l1_0.001,True,0.009119999594986439,0.009999999776482582,0.1653,0.142,0.196,0.1589,0.1459,0.1296,0.13908,0.1249,0.15542,0.1164,0.01,0.01
l1_0.001,True,0.008059999905526638,0.009999999776482582,0.16594,0.1455,0.20122,0.1622,0.1393,0.1295,0.13422,0.1203,0.15006,0.115,0.01,0.01
l1_0.001,True,0.00872000027447939,0.009999999776482582,0.1653,0.1401,0.19714,0.1604,0.13512,0.1217,0.13322,0.1181,0.15162,0.1164,0.01,0.01
l1_0.001,False,0.008259999565780163,0.009999999776482582,0.16392,0.1438,0.16426,0.1445,0.13768,0.1295,0.06498,0.0565,0.0158,0.0145,0.01,0.01
l1_0.001,False,0.009119999594986439,0.009999999776482582,0.16812,0.1462,0.16798,0.1465,0.14282,0.1298,0.07404,0.0691,0.01,0.01,0.01,0.01
l1_0.001,False,0.008779999800026417,0.009999999776482582,0.16076,0.1407,0.1623,0.142,0.1375,0.1244,0.06728,0.0586,0.01,0.01,0.01,0.01
