trial,epoch,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0,0,True,0.010099999606609344,0.010300000198185444,0.16884,0.1406,0.20318,0.1577,0.15836,0.1308,0.151,0.1237,0.17628,0.134,0.1391,0.115
0,1,True,0.05700000002980232,0.07590000331401825,0.0973,0.0925,0.17374,0.1507,0.11844,0.1144,0.13104,0.1246,0.1559,0.1318,0.11194,0.1071
0,2,True,0.09697999805212021,0.12080000340938568,0.10342,0.1,0.19784,0.1731,0.1397,0.1335,0.16096,0.1515,0.1848,0.1678,0.1464,0.1419
0,3,True,0.13064000010490417,0.15049999952316284,0.1086,0.1061,0.20696,0.1799,0.14936,0.1413,0.1761,0.163,0.20354,0.1789,0.16544,0.1575
0,4,True,0.15318000316619873,0.16060000658035278,0.11006,0.1056,0.21342,0.1852,0.15434,0.1484,0.1863,0.1688,0.21158,0.1867,0.17728,0.1683
0,5,True,0.16888000071048737,0.16940000653266907,0.11232,0.1062,0.21798,0.1888,0.15734,0.1465,0.1889,0.1719,0.21786,0.1891,0.18262,0.172
0,6,True,0.18084000051021576,0.1679999977350235,0.11624,0.112,0.22176,0.1942,0.15736,0.1486,0.19326,0.1732,0.22484,0.1924,0.19038,0.172
0,7,True,0.18953999876976013,0.18330000340938568,0.11562,0.1113,0.22298,0.1937,0.15886,0.1472,0.19758,0.1772,0.228,0.1948,0.1958,0.1787
0,8,True,0.19878000020980835,0.19280000030994415,0.11626,0.1113,0.22468,0.195,0.16072,0.1486,0.2033,0.1803,0.2322,0.1991,0.19942,0.1804
0,9,True,0.20819999277591705,0.19359999895095825,0.11612,0.1103,0.2267,0.1966,0.16164,0.1524,0.20534,0.1805,0.2381,0.1987,0.2043,0.1837
0,10,True,0.21780000627040863,0.1941000074148178,0.1164,0.1104,0.22884,0.1968,0.1651,0.1521,0.20842,0.1839,0.23904,0.2019,0.20864,0.1844
0,11,True,0.22276000678539276,0.19740000367164612,0.11674,0.1122,0.2306,0.1977,0.1665,0.1579,0.21138,0.1894,0.24248,0.204,0.21204,0.1873
0,12,True,0.22759999334812164,0.19470000267028809,0.1171,0.1125,0.2311,0.1976,0.1663,0.1546,0.21178,0.1864,0.24474,0.2064,0.2127,0.1883
0,13,True,0.23513999581336975,0.2029999941587448,0.11714,0.1121,0.2326,0.2003,0.16774,0.1538,0.21618,0.1893,0.24726,0.2091,0.21838,0.1926
0,14,True,0.239779993891716,0.20389999449253082,0.11688,0.1125,0.23154,0.2026,0.16884,0.1575,0.21614,0.1896,0.25102,0.2078,0.22142,0.1901
0,15,True,0.24451999366283417,0.21150000393390656,0.11878,0.1139,0.23272,0.1998,0.16906,0.1573,0.21918,0.1935,0.25126,0.2056,0.2266,0.1919
0,16,True,0.25279998779296875,0.20280000567436218,0.11862,0.1117,0.23348,0.1999,0.16866,0.1551,0.21634,0.1918,0.2528,0.2071,0.22422,0.1911
0,17,True,0.2572399973869324,0.20759999752044678,0.11824,0.1123,0.23316,0.2007,0.16828,0.1543,0.21926,0.1915,0.25414,0.2087,0.2275,0.1929
0,18,True,0.26541998982429504,0.2142000049352646,0.11802,0.1131,0.23494,0.2039,0.16868,0.1537,0.2208,0.1908,0.25662,0.2065,0.23234,0.1958
0,19,True,0.26840001344680786,0.21480000019073486,0.11932,0.1135,0.23516,0.1998,0.16938,0.1576,0.22268,0.1941,0.25634,0.2094,0.23576,0.1948
0,20,True,0.2739199995994568,0.20499999821186066,0.11852,0.1143,0.23392,0.2018,0.16792,0.1566,0.21924,0.1976,0.25614,0.2101,0.23032,0.193
0,21,True,0.2810800075531006,0.20309999585151672,0.11844,0.112,0.23558,0.2014,0.17008,0.1553,0.22026,0.19,0.25824,0.2104,0.23546,0.1947
0,22,True,0.28271999955177307,0.20509999990463257,0.1187,0.1145,0.23558,0.2009,0.16918,0.1576,0.22342,0.1948,0.2586,0.2093,0.23798,0.1937
0,23,True,0.28968000411987305,0.210099995136261,0.11822,0.1133,0.2358,0.2015,0.16906,0.1542,0.22072,0.1918,0.25668,0.2089,0.23768,0.1943
0,24,True,0.29155999422073364,0.2071000039577484,0.1188,0.1139,0.23426,0.1988,0.16946,0.1557,0.223,0.192,0.2595,0.2087,0.23968,0.1906
0,25,True,0.2991600036621094,0.20739999413490295,0.11952,0.1148,0.23594,0.201,0.17044,0.1579,0.22504,0.1954,0.26172,0.21,0.2443,0.1934
0,26,True,0.30292001366615295,0.2093999981880188,0.11904,0.1141,0.23618,0.2016,0.16904,0.1576,0.22406,0.1948,0.26168,0.2123,0.24222,0.1913
0,27,True,0.31007999181747437,0.2125999927520752,0.11874,0.1156,0.23712,0.2016,0.17104,0.1576,0.2262,0.1907,0.26456,0.2094,0.2501,0.1949
0,28,True,0.3117600083351135,0.2175000011920929,0.11814,0.1132,0.237,0.2034,0.1701,0.1567,0.22678,0.194,0.26276,0.2133,0.24884,0.1894
0,29,True,0.31784000992774963,0.20890000462532043,0.11854,0.1143,0.2359,0.2001,0.17012,0.1555,0.22582,0.1936,0.26436,0.2104,0.25008,0.1943
0,30,True,0.3224000036716461,0.21330000460147858,0.11856,0.1136,0.2371,0.2016,0.172,0.1548,0.22714,0.1926,0.26682,0.2117,0.2533,0.1965
0,31,True,0.32684001326560974,0.2087000012397766,0.118,0.1127,0.23606,0.2023,0.1705,0.1558,0.2273,0.192,0.26428,0.2112,0.24876,0.1924
0,32,True,0.3335599899291992,0.2071000039577484,0.1185,0.1139,0.2366,0.2006,0.17088,0.158,0.22876,0.194,0.26654,0.2132,0.25628,0.1942
0,33,True,0.33851999044418335,0.2079000025987625,0.11846,0.1132,0.2371,0.2007,0.17158,0.1548,0.22756,0.1908,0.26628,0.2079,0.25542,0.193
0,34,True,0.3388400077819824,0.21150000393390656,0.11866,0.1135,0.23646,0.2022,0.17138,0.1521,0.22892,0.1919,0.26592,0.2085,0.25744,0.1952
0,35,True,0.3436799943447113,0.20419999957084656,0.11906,0.1131,0.23638,0.2005,0.17058,0.1542,0.22818,0.1903,0.2663,0.2087,0.25302,0.1925
0,36,True,0.3506599962711334,0.20730000734329224,0.11876,0.1118,0.23748,0.2,0.17084,0.1549,0.2277,0.1938,0.2668,0.2117,0.26128,0.1947
0,37,True,0.3552800118923187,0.2070000022649765,0.12042,0.1153,0.23672,0.2015,0.17166,0.1533,0.2256,0.1876,0.26502,0.2082,0.25316,0.1863
0,38,True,0.35802000761032104,0.2013999968767166,0.1188,0.114,0.23738,0.2037,0.16986,0.155,0.22982,0.1936,0.26748,0.2101,0.25716,0.1896
0,39,True,0.3639200031757355,0.2013999968767166,0.11902,0.115,0.23672,0.2019,0.17108,0.155,0.22864,0.1905,0.26604,0.2111,0.26294,0.1932
0,40,True,0.3641799986362457,0.20350000262260437,0.11918,0.114,0.23624,0.2011,0.17218,0.1564,0.2293,0.192,0.26756,0.21,0.26142,0.1921
0,41,True,0.3689599931240082,0.2062000036239624,0.11962,0.1134,0.23764,0.2013,0.17168,0.155,0.22988,0.1915,0.26896,0.2091,0.26702,0.1932
0,42,True,0.37501999735832214,0.19820000231266022,0.11898,0.1146,0.23756,0.2015,0.17132,0.1543,0.22846,0.1912,0.2682,0.2095,0.26124,0.1887
0,43,True,0.37953999638557434,0.20309999585151672,0.12002,0.1136,0.23664,0.2006,0.17186,0.1537,0.22888,0.1901,0.26632,0.2073,0.26254,0.19
0,44,True,0.38176000118255615,0.2011999934911728,0.11936,0.1148,0.23778,0.2008,0.17052,0.1545,0.22918,0.1944,0.2685,0.2127,0.27072,0.1902
0,45,True,0.38530001044273376,0.20720000565052032,0.1197,0.1138,0.23912,0.2031,0.17188,0.1551,0.22878,0.1899,0.26878,0.2091,0.27188,0.1902
0,46,True,0.38892000913619995,0.195700004696846,0.12004,0.1149,0.23842,0.2015,0.17,0.1558,0.22752,0.1896,0.26774,0.2066,0.26828,0.1908
0,47,True,0.3940800130367279,0.19869999587535858,0.11998,0.113,0.23782,0.2024,0.172,0.1562,0.23056,0.1917,0.27024,0.2131,0.27384,0.1899
0,48,True,0.3955000042915344,0.2061000019311905,0.11962,0.1146,0.23838,0.2007,0.17058,0.1547,0.22906,0.1891,0.2697,0.2092,0.27702,0.1897
0,49,True,0.39917999505996704,0.1988999992609024,0.11886,0.1136,0.2375,0.2007,0.17186,0.1543,0.22898,0.1889,0.26874,0.2092,0.27156,0.1848
0,50,True,0.4047999978065491,0.2004999965429306,0.12022,0.1144,0.238,0.2038,0.17242,0.1566,0.23084,0.1897,0.2704,0.2069,0.27462,0.1852
0,51,True,0.40615999698638916,0.20229999721050262,0.12006,0.1151,0.23866,0.2006,0.17138,0.1544,0.22956,0.1896,0.26896,0.2092,0.27032,0.1894
0,52,True,0.40959998965263367,0.19820000231266022,0.11952,0.1143,0.23864,0.2012,0.1712,0.1556,0.22968,0.193,0.2706,0.2077,0.27578,0.1914
0,53,True,0.41317999362945557,0.20160000026226044,0.11968,0.1133,0.23878,0.2001,0.17196,0.155,0.2284,0.1903,0.26974,0.205,0.27822,0.1871
0,54,True,0.4195599853992462,0.19509999454021454,0.11972,0.1141,0.23908,0.2024,0.1719,0.1524,0.23062,0.1904,0.27008,0.2073,0.2778,0.1877
0,55,True,0.41885998845100403,0.19760000705718994,0.12026,0.1137,0.2382,0.2029,0.1704,0.1524,0.23002,0.1893,0.26986,0.2079,0.27658,0.189
0,56,True,0.42399999499320984,0.1941000074148178,0.11934,0.1144,0.23796,0.204,0.17042,0.1523,0.22798,0.1891,0.26818,0.206,0.27276,0.188
0,57,True,0.42800000309944153,0.20010000467300415,0.11982,0.1141,0.23766,0.2029,0.1714,0.1563,0.23224,0.1894,0.27054,0.2064,0.27906,0.186
0,58,True,0.4271399974822998,0.1940000057220459,0.12054,0.1142,0.2379,0.2027,0.17124,0.1542,0.22906,0.1899,0.26834,0.2076,0.28144,0.1863
0,59,True,0.43869999051094055,0.18729999661445618,0.11974,0.1143,0.23844,0.201,0.17042,0.1524,0.22918,0.1885,0.26772,0.2076,0.27138,0.1869
0,60,True,0.4327999949455261,0.1973000019788742,0.12074,0.1146,0.23826,0.2016,0.17294,0.1563,0.231,0.191,0.2718,0.2108,0.2836,0.1887
0,61,True,0.4418199956417084,0.19699999690055847,0.1196,0.1131,0.23792,0.2025,0.17102,0.1527,0.22942,0.1903,0.27142,0.2085,0.28384,0.1848
0,62,True,0.4401400089263916,0.1923000067472458,0.1197,0.1136,0.23758,0.2022,0.17162,0.1543,0.22962,0.1897,0.27148,0.2039,0.27656,0.183
0,63,True,0.44064000248908997,0.19609999656677246,0.11934,0.1132,0.23874,0.204,0.17294,0.1556,0.22978,0.1911,0.27126,0.2084,0.28306,0.186
0,64,True,0.4481399953365326,0.19779999554157257,0.11992,0.1146,0.23764,0.2034,0.17148,0.1537,0.231,0.1908,0.27142,0.2085,0.28416,0.1887
