reservoir_layer_scaling_factor,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0.25,True,0.8695799708366394,0.4449999928474426,0.41428,0.4063,0.44748,0.4288,0.53064,0.477,0.58494,0.482,0.63466,0.4732,0.75178,0.469
0.25,True,0.8522199988365173,0.4490000009536743,0.41844,0.4074,0.44162,0.4308,0.52192,0.478,0.5715,0.4826,0.60892,0.4628,0.7305,0.4677
0.25,True,0.85944002866745,0.45559999346733093,0.42088,0.4095,0.44902,0.4298,0.52396,0.4851,0.57118,0.4799,0.62142,0.4688,0.74784,0.4734
0.25,True,0.8529599905014038,0.4514999985694885,0.42274,0.4134,0.45428,0.4445,0.52844,0.483,0.5802,0.4851,0.63778,0.4739,0.7596,0.4644
0.25,True,0.8537200093269348,0.4507000148296356,0.42546,0.4119,0.45184,0.4284,0.52568,0.4794,0.57078,0.4752,0.61444,0.4599,0.74494,0.4681
0.25,True,0.8555200099945068,0.4575999975204468,0.4151,0.4031,0.44764,0.4402,0.52214,0.48,0.57128,0.478,0.63482,0.465,0.75952,0.4658
0.25,True,0.8607199788093567,0.45820000767707825,0.42266,0.4091,0.44962,0.437,0.52596,0.4833,0.58546,0.4804,0.62604,0.4749,0.7486,0.4677
0.25,True,0.8595799803733826,0.45890000462532043,0.42012,0.4081,0.4549,0.4432,0.5265,0.4844,0.58212,0.4881,0.63454,0.4755,0.75464,0.4696
0.25,True,0.8648999929428101,0.445499986410141,0.41808,0.4088,0.4546,0.4369,0.52528,0.4781,0.57716,0.4815,0.6303,0.4609,0.75234,0.4629
0.25,True,0.8707799911499023,0.4560999870300293,0.41918,0.4072,0.4529,0.4409,0.52742,0.4831,0.58066,0.4868,0.63584,0.4768,0.76636,0.4784
0.25,True,0.8536400198936462,0.44699999690055847,0.42074,0.4093,0.4483,0.4326,0.53072,0.4792,0.5865,0.4814,0.64274,0.4684,0.76348,0.4644
0.25,True,0.8622400164604187,0.4521999955177307,0.41748,0.406,0.45406,0.439,0.52578,0.4802,0.57928,0.4759,0.62846,0.4634,0.7588,0.4645
0.25,True,0.8596400022506714,0.4424999952316284,0.41814,0.4124,0.4495,0.4372,0.52118,0.48,0.56724,0.4766,0.60628,0.4612,0.71898,0.466
0.25,True,0.8644599914550781,0.4480000138282776,0.43032,0.4146,0.45006,0.4331,0.5293,0.4797,0.58674,0.4796,0.6466,0.4664,0.7738,0.4647
0.25,True,0.8637999892234802,0.45579999685287476,0.42138,0.408,0.45282,0.4387,0.52592,0.4781,0.57072,0.4772,0.61764,0.4704,0.75238,0.4719
0.25,True,0.8623200058937073,0.45730000734329224,0.42508,0.4127,0.45684,0.4461,0.52698,0.4877,0.57696,0.4834,0.63762,0.4717,0.76774,0.4669
0.25,True,0.8617799878120422,0.453900009393692,0.42128,0.4113,0.4479,0.4339,0.52856,0.4799,0.57708,0.4755,0.6376,0.4684,0.74766,0.467
0.25,True,0.8652999997138977,0.45249998569488525,0.4184,0.4042,0.44584,0.4334,0.52896,0.4818,0.5819,0.4827,0.62494,0.4691,0.76358,0.4609
0.25,True,0.8580800294876099,0.44839999079704285,0.42816,0.4171,0.45452,0.4383,0.53228,0.4879,0.58466,0.4862,0.6252,0.4651,0.75396,0.471
0.25,True,0.8763399720191956,0.46650001406669617,0.42702,0.4139,0.45148,0.435,0.52784,0.4838,0.58504,0.49,0.64884,0.4676,0.77828,0.473
0.25,True,0.8582199811935425,0.4512999951839447,0.43182,0.4201,0.45454,0.4438,0.53006,0.4833,0.5896,0.4807,0.63924,0.4733,0.75458,0.4715
0.25,True,0.8615800142288208,0.45559999346733093,0.42624,0.4104,0.45168,0.4411,0.52794,0.4822,0.58256,0.4812,0.64198,0.4703,0.77332,0.4655
0.25,True,0.861299991607666,0.4620000123977661,0.42774,0.4159,0.45314,0.4345,0.53056,0.484,0.58272,0.4862,0.63224,0.4778,0.73842,0.4706
0.25,True,0.8622999787330627,0.4447999894618988,0.42536,0.4165,0.45374,0.4354,0.53004,0.4808,0.58576,0.489,0.63642,0.4833,0.75646,0.469
0.25,True,0.8640000224113464,0.4575999975204468,0.41986,0.4081,0.4491,0.4319,0.5288,0.4801,0.57924,0.482,0.62618,0.4649,0.75632,0.4699
0.25,False,0.8062599897384644,0.4627000093460083,0.45792,0.4347,0.48338,0.4586,0.55064,0.4945,0.64114,0.49,0.71624,0.4689,0.7761,0.4739
0.25,False,0.8043199777603149,0.47769999504089355,0.46668,0.4473,0.48414,0.4612,0.55196,0.4914,0.6295,0.4893,0.68278,0.4637,0.75172,0.4766
0.25,False,0.8003600239753723,0.4650999903678894,0.45424,0.4338,0.47816,0.4528,0.5431,0.4879,0.6305,0.4811,0.71294,0.4669,0.77712,0.4719
0.25,False,0.8146399855613708,0.45969998836517334,0.46612,0.4493,0.4862,0.4654,0.55268,0.4972,0.64552,0.4905,0.71212,0.4719,0.76924,0.4765
0.25,False,0.814300000667572,0.46070000529289246,0.44296,0.4217,0.47276,0.4564,0.5355,0.4874,0.62902,0.4784,0.71174,0.4552,0.77448,0.4619
0.25,False,0.7965999841690063,0.46000000834465027,0.45986,0.4349,0.4837,0.4542,0.55184,0.4877,0.63776,0.4815,0.6974,0.4636,0.7616,0.4624
0.25,False,0.8027200102806091,0.4668999910354614,0.4512,0.4375,0.47556,0.4588,0.5447,0.4922,0.64054,0.4821,0.71866,0.4661,0.7761,0.4638
0.25,False,0.7980800271034241,0.4668000042438507,0.4602,0.4423,0.46684,0.4496,0.54168,0.4893,0.62354,0.489,0.70508,0.4682,0.76234,0.4739
0.25,False,0.7978000044822693,0.4564000070095062,0.44804,0.43,0.47026,0.4449,0.53642,0.4844,0.62486,0.4784,0.71308,0.4674,0.76274,0.4662
0.25,False,0.7890599966049194,0.4672999978065491,0.4546,0.437,0.47242,0.4494,0.54572,0.4963,0.62826,0.4815,0.6979,0.4626,0.75744,0.4661
0.25,False,0.7982400059700012,0.4618000090122223,0.45386,0.4365,0.47478,0.4539,0.54348,0.4842,0.63028,0.4797,0.69704,0.4597,0.7578,0.4621
0.25,False,0.8195199966430664,0.4659000039100647,0.4571,0.4409,0.48668,0.4572,0.55412,0.5008,0.6439,0.4864,0.71496,0.4678,0.77536,0.4715
0.25,False,0.7901999950408936,0.46239998936653137,0.4433,0.433,0.46484,0.4488,0.53322,0.4897,0.60726,0.4891,0.66518,0.4729,0.72164,0.4715
0.25,False,0.8050600290298462,0.4584999978542328,0.4526,0.4389,0.48398,0.4641,0.54896,0.496,0.63148,0.4841,0.69868,0.4714,0.76386,0.465
0.25,False,0.8057199716567993,0.46160000562667847,0.46084,0.4403,0.47766,0.4586,0.54654,0.491,0.63456,0.4847,0.70352,0.4654,0.76938,0.4669
0.25,False,0.803380012512207,0.4690999984741211,0.45636,0.4386,0.4813,0.4582,0.54874,0.4965,0.63752,0.4835,0.71106,0.4741,0.76714,0.4706
0.25,False,0.7977399826049805,0.46869999170303345,0.43946,0.4237,0.46906,0.451,0.53406,0.4911,0.62018,0.4828,0.70108,0.4656,0.76958,0.4736
0.25,False,0.820900022983551,0.4494999945163727,0.43002,0.4196,0.4686,0.4485,0.53828,0.4872,0.6328,0.4799,0.7094,0.4618,0.7684,0.4602
0.25,False,0.8020200133323669,0.4611999988555908,0.4531,0.436,0.46776,0.4484,0.54188,0.4888,0.62552,0.4828,0.70964,0.4637,0.76454,0.4659
0.25,False,0.8165000081062317,0.4674000144004822,0.46854,0.4492,0.48526,0.4625,0.55538,0.4922,0.65688,0.4809,0.7254,0.4626,0.79436,0.4702
0.25,False,0.8037400245666504,0.4700999855995178,0.45192,0.4303,0.47118,0.4447,0.5405,0.49,0.62922,0.4825,0.70732,0.4712,0.7742,0.4695
0.25,False,0.8067799806594849,0.4675999879837036,0.45974,0.4449,0.47556,0.4516,0.54926,0.4995,0.64154,0.4889,0.72494,0.462,0.7809,0.4694
0.25,False,0.796779990196228,0.4496999979019165,0.46464,0.4437,0.4714,0.4521,0.54838,0.494,0.63178,0.4839,0.70168,0.4601,0.76918,0.464
0.25,False,0.8069999814033508,0.459199994802475,0.45366,0.4344,0.48014,0.46,0.5451,0.4956,0.62712,0.4862,0.70496,0.4634,0.76086,0.4692
0.25,False,0.8145400285720825,0.45590001344680786,0.43698,0.4287,0.4669,0.4519,0.54002,0.4865,0.63394,0.4795,0.71404,0.4628,0.78846,0.4698
0.5,True,0.8819199800491333,0.4648999869823456,0.42534,0.4044,0.4756,0.4515,0.53366,0.4802,0.59164,0.4886,0.64336,0.4845,0.77306,0.4741
0.5,True,0.8844199776649475,0.4625999927520752,0.4316,0.4198,0.47128,0.4542,0.54144,0.4891,0.60072,0.49,0.6535,0.4895,0.78112,0.4718
0.5,True,0.8870000243186951,0.46050000190734863,0.4194,0.4013,0.46836,0.4443,0.5356,0.4843,0.58736,0.4871,0.62232,0.4839,0.75262,0.47
0.5,True,0.8842999935150146,0.4616999924182892,0.42832,0.4171,0.4716,0.4539,0.54136,0.4819,0.5981,0.4908,0.6485,0.4803,0.77616,0.469
0.5,True,0.8944200277328491,0.46399998664855957,0.42626,0.4172,0.47278,0.4597,0.54158,0.4839,0.61168,0.4885,0.6586,0.4836,0.78774,0.4787
0.5,True,0.8925399780273438,0.45249998569488525,0.41766,0.4101,0.46918,0.4539,0.54208,0.4809,0.60886,0.4872,0.66356,0.4846,0.79174,0.4645
0.5,True,0.8934000134468079,0.45820000767707825,0.42314,0.4082,0.4719,0.4494,0.54558,0.4844,0.60654,0.4858,0.65734,0.4856,0.77844,0.4609
0.5,True,0.8871999979019165,0.46230000257492065,0.43138,0.4179,0.47374,0.4597,0.54628,0.4885,0.60674,0.4905,0.65984,0.4872,0.7785,0.4755
0.5,True,0.8959599733352661,0.46480000019073486,0.42704,0.4143,0.47346,0.4541,0.54966,0.4852,0.60966,0.4969,0.6612,0.4844,0.78334,0.4737
0.5,True,0.8971800208091736,0.4596000015735626,0.42126,0.4084,0.46948,0.4519,0.54452,0.4887,0.62308,0.4909,0.67396,0.4854,0.78782,0.4748
0.5,True,0.8816199898719788,0.4652000069618225,0.42922,0.4215,0.4811,0.4616,0.54244,0.4851,0.59938,0.4925,0.65442,0.4889,0.77462,0.4754
0.5,True,0.8791400194168091,0.46389999985694885,0.42716,0.4145,0.46938,0.4582,0.53122,0.4859,0.58594,0.4957,0.64068,0.4926,0.74486,0.4765
0.5,True,0.8933200240135193,0.461899995803833,0.42982,0.4179,0.47444,0.4559,0.53244,0.4871,0.58742,0.4914,0.63784,0.487,0.76106,0.4766
0.5,True,0.8935999870300293,0.4528000056743622,0.41918,0.4085,0.47216,0.4609,0.53772,0.4807,0.5989,0.4919,0.65208,0.4899,0.77022,0.4735
0.5,True,0.8805400133132935,0.46140000224113464,0.422,0.4125,0.4698,0.4485,0.53504,0.4838,0.58972,0.4869,0.63912,0.4806,0.77204,0.4745
0.5,True,0.8772000074386597,0.4555000066757202,0.42644,0.4168,0.46512,0.4509,0.53316,0.4873,0.59288,0.4941,0.64998,0.4889,0.78422,0.4706
0.5,True,0.8874599933624268,0.4609000086784363,0.41688,0.4093,0.47064,0.4566,0.53978,0.4865,0.60552,0.4861,0.65666,0.4868,0.78124,0.4738
0.5,True,0.8913599848747253,0.4708000123500824,0.43202,0.4134,0.47226,0.4572,0.54212,0.4875,0.6008,0.4991,0.65854,0.4918,0.79152,0.4759
0.5,True,0.8908600211143494,0.4514999985694885,0.41976,0.4101,0.47146,0.4538,0.54124,0.4852,0.60342,0.4938,0.65404,0.4853,0.75984,0.4725
0.5,True,0.8796200156211853,0.460999995470047,0.42232,0.4049,0.47344,0.4476,0.53498,0.4781,0.5868,0.488,0.63292,0.4846,0.77232,0.4762
0.5,True,0.8878999948501587,0.4607999920845032,0.42146,0.403,0.46816,0.4453,0.53184,0.4831,0.59046,0.4889,0.64578,0.4852,0.78262,0.4764
0.5,True,0.9003999829292297,0.4553000032901764,0.42054,0.4045,0.47204,0.454,0.54044,0.4862,0.60134,0.4893,0.65024,0.4882,0.76748,0.4635
0.5,True,0.8803799748420715,0.45829999446868896,0.42494,0.4113,0.47264,0.4491,0.53294,0.485,0.58864,0.4895,0.6411,0.4843,0.77452,0.4689
0.5,True,0.8894199728965759,0.4603999853134155,0.42114,0.4063,0.46836,0.4475,0.54264,0.4806,0.60208,0.4888,0.65762,0.4858,0.77372,0.4696
0.5,True,0.887499988079071,0.46380001306533813,0.4278,0.4181,0.47082,0.4521,0.5363,0.4869,0.5927,0.4949,0.64502,0.4843,0.78772,0.4786
0.5,False,0.8295599818229675,0.4740000069141388,0.4588,0.4434,0.49898,0.4698,0.56638,0.4968,0.65876,0.4919,0.74706,0.4811,0.80096,0.4746
0.5,False,0.8438000082969666,0.459199994802475,0.41982,0.411,0.48464,0.4646,0.5464,0.483,0.64124,0.4837,0.74194,0.4656,0.80274,0.4601
0.5,False,0.8496800065040588,0.46129998564720154,0.4509,0.4359,0.49438,0.4627,0.56068,0.4956,0.65234,0.4854,0.7481,0.473,0.80436,0.4674
0.5,False,0.8525400161743164,0.47279998660087585,0.45314,0.4332,0.49806,0.4662,0.57212,0.4941,0.68166,0.4868,0.77472,0.4725,0.84192,0.4684
0.5,False,0.828499972820282,0.45809999108314514,0.45102,0.4329,0.4909,0.4641,0.55776,0.4929,0.64714,0.4846,0.71418,0.4708,0.77618,0.4646
0.5,False,0.8445799946784973,0.47119998931884766,0.44278,0.4306,0.4978,0.4734,0.5607,0.4977,0.6591,0.49,0.7506,0.4769,0.82064,0.4763
0.5,False,0.8403400182723999,0.46129998564720154,0.45202,0.4341,0.49374,0.4698,0.55986,0.4979,0.65166,0.4886,0.73296,0.4747,0.78822,0.4685
0.5,False,0.847100019454956,0.4575999975204468,0.43926,0.4206,0.49072,0.4651,0.55704,0.4902,0.65516,0.4794,0.74916,0.4655,0.82436,0.458
0.5,False,0.8454599976539612,0.45750001072883606,0.43626,0.4246,0.48976,0.4724,0.54934,0.4797,0.64176,0.4744,0.73982,0.4628,0.81428,0.4568
0.5,False,0.8378199934959412,0.460099995136261,0.44044,0.4216,0.49486,0.4634,0.5592,0.487,0.65804,0.4858,0.74654,0.4731,0.81712,0.4605
0.5,False,0.844539999961853,0.46790000796318054,0.44288,0.4253,0.49714,0.4695,0.55982,0.4953,0.65764,0.4857,0.75078,0.4703,0.81604,0.4669
0.5,False,0.8507999777793884,0.45739999413490295,0.44514,0.4308,0.49386,0.4688,0.55858,0.4943,0.65414,0.4787,0.75676,0.4691,0.8117,0.4603
0.5,False,0.8394799828529358,0.4575999975204468,0.44158,0.4281,0.48606,0.4656,0.54646,0.4872,0.639,0.4794,0.73378,0.4736,0.79386,0.4602
0.5,False,0.8503599762916565,0.4571000039577484,0.4406,0.4266,0.4949,0.4674,0.5592,0.4935,0.66566,0.4831,0.76782,0.4669,0.8263,0.4558
0.5,False,0.8468800187110901,0.46860000491142273,0.44506,0.4342,0.48778,0.4715,0.55364,0.4906,0.6551,0.4883,0.75232,0.4729,0.82282,0.4725
0.5,False,0.8410999774932861,0.460999995470047,0.45328,0.4345,0.4957,0.4736,0.55606,0.4891,0.6578,0.4896,0.75856,0.4698,0.82228,0.4649
