layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_ls,layer_0_test_ls,layer_0_train_mlp,layer_0_test_mlp,layer_1_train_ls,layer_1_test_ls,layer_1_train_mlp,layer_1_test_mlp,layer_2_train_ls,layer_2_test_ls,layer_2_train_mlp,layer_2_test_mlp,layer_3_train_ls,layer_3_test_ls,layer_3_train_mlp,layer_3_test_mlp,layer_4_train_ls,layer_4_test_ls,layer_4_train_mlp,layer_4_test_mlp,layer_5_train_ls,layer_5_test_ls,layer_5_train_mlp,layer_5_test_mlp

256,True,0.7376400232315063,0.4788999855518341,0.43536,0.4218,0.45249998569488525,0.4374000132083893,0.5231,0.4918,0.5354400277137756,0.4959999918937683,0.53042,0.4801,0.5720999836921692,0.49880000948905945,0.60272,0.5048,0.6462399959564209,0.5001000165939331,0.64304,0.5067,0.692799985408783,0.49570000171661377,0.6887,0.4824,0.7836599946022034,0.48510000109672546

256,True,0.7290800213813782,0.49050000309944153,0.4453,0.4334,0.4609200060367584,0.44279998540878296,0.53198,0.4941,0.5419999957084656,0.49790000915527344,0.54032,0.4968,0.5779600143432617,0.5077000260353088,0.60364,0.5071,0.639739990234375,0.5034999847412109,0.63562,0.5168,0.6767200231552124,0.5019000172615051,0.66934,0.4938,0.7529799938201904,0.49459999799728394

256,True,0.7253599762916565,0.49059998989105225,0.44464,0.4314,0.4615600109100342,0.4429999887943268,0.52884,0.4899,0.5413200259208679,0.4909000098705292,0.53568,0.4785,0.5768200159072876,0.5022000074386597,0.6077,0.5047,0.6524800062179565,0.5016999840736389,0.6491,0.5128,0.6895800232887268,0.5005999803543091,0.68586,0.4914,0.7816799879074097,0.4936000108718872

256,True,0.7333999872207642,0.47429999709129333,0.44984,0.4365,0.4717000126838684,0.4603999853134155,0.5325,0.4944,0.5501000285148621,0.4952000081539154,0.53838,0.4811,0.5768200159072876,0.49810001254081726,0.59932,0.4979,0.6389399766921997,0.492900013923645,0.63614,0.506,0.6847000122070312,0.4903999865055084,0.6836,0.4815,0.7690799832344055,0.4848000109195709

256,True,0.7228400111198425,0.4781000018119812,0.43494,0.4207,0.44769999384880066,0.4293999969959259,0.52444,0.487,0.5328599810600281,0.486299991607666,0.52726,0.4828,0.5634999871253967,0.49779999256134033,0.59632,0.5035,0.6355599761009216,0.49779999256134033,0.63202,0.5102,0.6748200058937073,0.4927999973297119,0.6711,0.4827,0.7639999985694885,0.48260000348091125

256,True,0.7188000082969666,0.4909999966621399,0.44236,0.422,0.45956000685691833,0.43950000405311584,0.52574,0.4866,0.5458800196647644,0.4959999918937683,0.53026,0.4849,0.5722000002861023,0.5048999786376953,0.5996,0.501,0.6396399736404419,0.4999000132083893,0.63446,0.5073,0.6758999824523926,0.4968000054359436,0.667,0.49,0.7603200078010559,0.49160000681877136

256,True,0.7322800159454346,0.4885999858379364,0.4416,0.4285,0.45263999700546265,0.43639999628067017,0.52474,0.4876,0.535040020942688,0.4846000075340271,0.52606,0.485,0.5670599937438965,0.5060999989509583,0.59354,0.5036,0.6380800008773804,0.5044000148773193,0.63468,0.5138,0.6807799935340881,0.5038999915122986,0.69068,0.4983,0.7781000137329102,0.49059998989105225

256,True,0.7275999784469604,0.48170000314712524,0.44876,0.4331,0.4630799889564514,0.4392000138759613,0.5294,0.4886,0.548039972782135,0.4945000112056732,0.53796,0.4854,0.5800999999046326,0.5038999915122986,0.61216,0.5115,0.6550999879837036,0.49959999322891235,0.649,0.5128,0.6985800266265869,0.49869999289512634,0.6796,0.4923,0.774179995059967,0.48660001158714294

256,True,0.7267600297927856,0.4787999987602234,0.44592,0.4375,0.46362000703811646,0.45089998841285706,0.52392,0.4917,0.540120005607605,0.49779999256134033,0.52952,0.4838,0.572920024394989,0.5024999976158142,0.59938,0.5035,0.6384999752044678,0.4952000081539154,0.64186,0.5065,0.6871200203895569,0.4986000061035156,0.6789,0.4846,0.7753400206565857,0.48669999837875366

256,True,0.7222399711608887,0.48339998722076416,0.43336,0.4221,0.44374001026153564,0.42890000343322754,0.51904,0.4834,0.5278400182723999,0.4876999855041504,0.52486,0.4814,0.5644599795341492,0.49950000643730164,0.59336,0.4947,0.6309000253677368,0.4934999942779541,0.6279,0.5006,0.6736999750137329,0.49709999561309814,0.67534,0.4798,0.7827399969100952,0.48260000348091125

256,True,0.7154399752616882,0.47929999232292175,0.44744,0.4269,0.46323999762535095,0.44350001215934753,0.52702,0.4879,0.5350800156593323,0.4878999888896942,0.52686,0.4851,0.5620999932289124,0.49470001459121704,0.59574,0.5026,0.6370999813079834,0.49149999022483826,0.63096,0.5039,0.6711999773979187,0.4948999881744385,0.66892,0.4822,0.7613999843597412,0.4772999882698059

256,True,0.743179976940155,0.4754999876022339,0.443,0.4319,0.46022000908851624,0.43939998745918274,0.52764,0.4958,0.5402399897575378,0.4894999861717224,0.54016,0.4905,0.5789999961853027,0.5087000131607056,0.59994,0.5048,0.6467599868774414,0.5002999901771545,0.64,0.5104,0.6876000165939331,0.49799999594688416,0.67796,0.4863,0.7616599798202515,0.4887000024318695

256,True,0.7154399752616882,0.4860999882221222,0.44612,0.4281,0.4594799876213074,0.4408999979496002,0.5275,0.4852,0.5325599908828735,0.48840001225471497,0.53254,0.4882,0.5707399845123291,0.4932999908924103,0.59556,0.4958,0.6299600005149841,0.4943999946117401,0.62992,0.4986,0.6711999773979187,0.4918999969959259,0.66188,0.4832,0.7460799813270569,0.4837999939918518

256,True,0.7006000280380249,0.4724999964237213,0.4363,0.4257,0.44554001092910767,0.42329999804496765,0.5205,0.4818,0.5247399806976318,0.4869000017642975,0.51484,0.4812,0.5542799830436707,0.49939998984336853,0.57428,0.5007,0.611739993095398,0.499099999666214,0.60874,0.5043,0.6509400010108948,0.49709999561309814,0.64688,0.4863,0.737820029258728,0.4799000024795532

256,True,0.7434800267219543,0.4943999946117401,0.44862,0.4337,0.46592000126838684,0.4440999925136566,0.5258,0.4959,0.5364000201225281,0.4975000023841858,0.53556,0.4837,0.5771600008010864,0.5098999738693237,0.61348,0.5077,0.6588799953460693,0.51419997215271,0.65074,0.5103,0.698199987411499,0.5060999989509583,0.6868,0.4881,0.7946400046348572,0.4945000112056732

256,True,0.7369599938392639,0.487199991941452,0.44374,0.4238,0.46470001339912415,0.439300000667572,0.52606,0.4871,0.539900004863739,0.4853000044822693,0.53266,0.4777,0.5759000182151794,0.4986000061035156,0.60472,0.5021,0.6491000056266785,0.4966999888420105,0.64924,0.507,0.696340024471283,0.4970000088214874,0.68668,0.4908,0.790340006351471,0.48489999771118164

256,True,0.7347000241279602,0.47769999504089355,0.43058,0.4138,0.4444800019264221,0.4343000054359436,0.5227,0.4868,0.5363799929618835,0.4896000027656555,0.52454,0.4798,0.5648000240325928,0.4950999915599823,0.59842,0.5028,0.6385800242424011,0.49790000915527344,0.63542,0.5081,0.6798999905586243,0.4950999915599823,0.66118,0.477,0.7580599784851074,0.4796999990940094

256,True,0.6986600160598755,0.47429999709129333,0.43234,0.4189,0.4392400085926056,0.41999998688697815,0.51882,0.4848,0.5237799882888794,0.4803999960422516,0.50662,0.4745,0.5454400181770325,0.49900001287460327,0.57542,0.4928,0.6118199825286865,0.49540001153945923,0.61322,0.4979,0.6523799896240234,0.487199991941452,0.64622,0.4738,0.7310000061988831,0.47540000081062317

256,True,0.7158600091934204,0.48030000925064087,0.4382,0.4249,0.46129998564720154,0.43939998745918274,0.52552,0.487,0.5348600149154663,0.4875999987125397,0.52984,0.4807,0.5674600005149841,0.49309998750686646,0.59728,0.506,0.6379799842834473,0.4973999857902527,0.63318,0.5125,0.6633800268173218,0.4918000102043152,0.67962,0.4908,0.7706400156021118,0.48179998993873596

256,True,0.7378600239753723,0.4846000075340271,0.44808,0.432,0.4695200026035309,0.45410001277923584,0.52606,0.4941,0.5324199795722961,0.4880000054836273,0.53688,0.4843,0.5772200226783752,0.4984999895095825,0.60582,0.5023,0.6470999717712402,0.49939998984336853,0.6413,0.5102,0.6891199946403503,0.4970000088214874,0.67826,0.4851,0.7752799987792969,0.48809999227523804

256,True,0.7414399981498718,0.4690999984741211,0.42848,0.4121,0.4421199858188629,0.4246000051498413,0.52234,0.4908,0.5405600070953369,0.4896000027656555,0.53804,0.4808,0.5788800120353699,0.5012999773025513,0.60638,0.5029,0.6478599905967712,0.5001999735832214,0.6399,0.5049,0.6856200098991394,0.49779999256134033,0.67292,0.4808,0.7519599795341492,0.47769999504089355

256,True,0.7243800163269043,0.4814000129699707,0.44002,0.4235,0.4553399980068207,0.4311999976634979,0.52894,0.4939,0.5413200259208679,0.49399998784065247,0.53548,0.4886,0.5791599750518799,0.5059000253677368,0.605,0.5047,0.6482200026512146,0.49900001287460327,0.64272,0.5068,0.6875799894332886,0.49889999628067017,0.67044,0.4857,0.752240002155304,0.489300012588501

256,True,0.7473400235176086,0.4758000075817108,0.44062,0.4247,0.4532400071620941,0.4311000108718872,0.52304,0.4869,0.5371000170707703,0.49050000309944153,0.5325,0.4749,0.5770800113677979,0.4959999918937683,0.60656,0.4979,0.6506999731063843,0.49540001153945923,0.64476,0.5082,0.6929399967193604,0.49630001187324524,0.68646,0.4885,0.7867799997329712,0.4862000048160553

256,True,0.7412599921226501,0.47690001130104065,0.44576,0.4262,0.4604400098323822,0.43970000743865967,0.52842,0.4824,0.5440199971199036,0.48570001125335693,0.53644,0.4844,0.5776600241661072,0.5006999969482422,0.60928,0.5036,0.6499000191688538,0.5016000270843506,0.64604,0.5111,0.6913999915122986,0.5011000037193298,0.69158,0.4874,0.7773000001907349,0.4844000041484833

256,True,0.728600025177002,0.48539999127388,0.4272,0.4128,0.43281999230384827,0.4189999997615814,0.52032,0.4895,0.5243200063705444,0.4909000098705292,0.52436,0.4816,0.5590000152587891,0.4986000061035156,0.59292,0.5031,0.6309400200843811,0.5037999749183655,0.62956,0.5068,0.6744599938392639,0.4984999895095825,0.67622,0.4791,0.7717400193214417,0.48489999771118164

