layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
32,True,0.4440999925136566,0.40630000829696655,0.3458,0.333,0.40252,0.3884,0.4018,0.3879,0.4144,0.3954,0.4287,0.4111,0.43072,0.4067
32,True,0.46007999777793884,0.42340001463890076,0.36286,0.3476,0.41362,0.3941,0.41708,0.3921,0.43222,0.403,0.4496,0.417,0.4527,0.4194
32,True,0.4844000041484833,0.43689998984336853,0.37536,0.3644,0.43222,0.4124,0.43914,0.4187,0.44782,0.4257,0.47286,0.4391,0.47714,0.439
32,True,0.49963998794555664,0.4429999887943268,0.38532,0.3747,0.42274,0.4095,0.42926,0.4094,0.44946,0.4246,0.47262,0.441,0.47868,0.4428
32,True,0.5169399976730347,0.45339998602867126,0.39168,0.383,0.43642,0.4221,0.44344,0.421,0.4574,0.4287,0.4813,0.4465,0.50032,0.4484
32,True,0.4896399974822998,0.44350001215934753,0.37604,0.3657,0.42346,0.4038,0.43016,0.4081,0.44596,0.42,0.46812,0.43,0.47546,0.442
32,True,0.5152000188827515,0.4560000002384186,0.3933,0.3735,0.43664,0.4099,0.4481,0.4213,0.46834,0.4411,0.48868,0.4444,0.50252,0.4555
32,True,0.45100000500679016,0.41780000925064087,0.3644,0.3511,0.40402,0.3851,0.4095,0.3912,0.4187,0.396,0.43846,0.4127,0.44912,0.4121
32,True,0.46140000224113464,0.42410001158714294,0.35456,0.3407,0.409,0.3912,0.4231,0.3991,0.43108,0.4078,0.45044,0.4214,0.45552,0.4217
32,True,0.48245999217033386,0.44119998812675476,0.37162,0.3565,0.42114,0.4089,0.43048,0.4091,0.44734,0.4264,0.46708,0.4336,0.47504,0.4372
32,True,0.4596000015735626,0.41920000314712524,0.35764,0.3417,0.40698,0.3943,0.41646,0.4007,0.43094,0.4088,0.44666,0.4194,0.4507,0.4174
32,True,0.5054000020027161,0.4357999861240387,0.4034,0.3853,0.4388,0.4197,0.448,0.4254,0.45682,0.4275,0.48452,0.4452,0.48838,0.4353
32,True,0.44339999556541443,0.40369999408721924,0.36206,0.3473,0.39668,0.3823,0.39948,0.3885,0.41114,0.3943,0.43254,0.4114,0.43148,0.405
32,True,0.4802800118923187,0.4426000118255615,0.37974,0.368,0.42462,0.404,0.43288,0.4106,0.44752,0.4167,0.46946,0.4318,0.47764,0.4367
32,True,0.4871799945831299,0.448199987411499,0.3783,0.3607,0.4296,0.4117,0.43194,0.4091,0.44968,0.4256,0.46988,0.439,0.47864,0.4401
32,True,0.4940800070762634,0.45179998874664307,0.38704,0.3696,0.42688,0.4071,0.43168,0.4077,0.4544,0.4304,0.4758,0.4416,0.4878,0.445
32,True,0.49459999799728394,0.4551999866962433,0.39878,0.381,0.43122,0.4155,0.43312,0.4157,0.44732,0.4246,0.47736,0.4494,0.486,0.4451
32,True,0.507420003414154,0.4595000147819519,0.40422,0.3891,0.43442,0.4141,0.43906,0.4153,0.4641,0.4305,0.4876,0.4468,0.50082,0.4504
32,True,0.5127999782562256,0.45089998841285706,0.3899,0.376,0.43434,0.4166,0.4417,0.4153,0.4571,0.4301,0.4742,0.4392,0.49694,0.4486
32,True,0.39344000816345215,0.36890000104904175,0.32426,0.3153,0.36182,0.3484,0.37406,0.3603,0.37694,0.3564,0.39116,0.3713,0.39182,0.3721
32,True,0.5248600244522095,0.46810001134872437,0.40274,0.3877,0.44494,0.4218,0.44936,0.4269,0.4631,0.4369,0.48748,0.4548,0.5093,0.4602
32,True,0.4909600019454956,0.44690001010894775,0.40254,0.3862,0.4313,0.4093,0.43804,0.4122,0.44962,0.4158,0.47488,0.436,0.48154,0.4398
32,True,0.5211600065231323,0.43799999356269836,0.40684,0.387,0.44492,0.421,0.44234,0.419,0.4591,0.4271,0.48494,0.4437,0.50082,0.4489
32,True,0.5210000276565552,0.4625000059604645,0.39758,0.3826,0.44668,0.4306,0.4495,0.4271,0.46694,0.4407,0.48846,0.4499,0.50632,0.4556
32,True,0.44613999128341675,0.41499999165534973,0.34718,0.3361,0.4013,0.3881,0.40898,0.3951,0.41554,0.3951,0.43694,0.4105,0.44548,0.41
32,False,0.5420600175857544,0.46160000562667847,0.397,0.3828,0.45394,0.4366,0.4626,0.4352,0.48028,0.4442,0.51828,0.4597,0.5282,0.4568
32,False,0.5648800134658813,0.48240000009536743,0.40248,0.3843,0.4726,0.4487,0.47876,0.451,0.49338,0.4596,0.53466,0.4831,0.5454,0.4722
32,False,0.5192599892616272,0.45239999890327454,0.38072,0.3716,0.45004,0.4321,0.45078,0.4258,0.46542,0.4328,0.49412,0.4521,0.50404,0.4482
32,False,0.5019999742507935,0.4404999911785126,0.3811,0.3717,0.43372,0.4185,0.42998,0.4124,0.44214,0.4206,0.47646,0.4438,0.4889,0.4335
32,False,0.5251799821853638,0.453000009059906,0.38908,0.3774,0.4504,0.4327,0.45706,0.4287,0.46404,0.4309,0.50814,0.4527,0.51614,0.4547
32,False,0.5108399987220764,0.4410000145435333,0.39282,0.3802,0.444,0.4279,0.44856,0.4245,0.46042,0.4332,0.49262,0.4478,0.49818,0.4423
32,False,0.5439199805259705,0.4659000039100647,0.39678,0.3857,0.4609,0.4451,0.46508,0.4438,0.48182,0.4488,0.51722,0.4622,0.53,0.461
32,False,0.4138599932193756,0.3781999945640564,0.3417,0.3304,0.39156,0.3749,0.38396,0.367,0.3972,0.3781,0.41184,0.3853,0.41286,0.3798
32,False,0.4205400049686432,0.37720000743865967,0.32808,0.3187,0.40056,0.3771,0.3824,0.3639,0.3987,0.3703,0.41574,0.383,0.41766,0.3812
32,False,0.5277799963951111,0.45179998874664307,0.3966,0.3802,0.4518,0.4326,0.44838,0.4227,0.46524,0.4313,0.49886,0.4502,0.51328,0.4503
32,False,0.5343000292778015,0.4603999853134155,0.39028,0.3783,0.45918,0.4346,0.45614,0.4335,0.4741,0.4417,0.51254,0.4555,0.52152,0.4554
32,False,0.5015000104904175,0.44769999384880066,0.3758,0.3691,0.43732,0.4207,0.43366,0.4177,0.44834,0.4206,0.4796,0.445,0.49306,0.4435
32,False,0.45170000195503235,0.41449999809265137,0.31188,0.3015,0.41452,0.3997,0.4049,0.3881,0.42328,0.3997,0.44242,0.4103,0.44764,0.4078
32,False,0.45552000403404236,0.41100001335144043,0.3479,0.3373,0.4103,0.3941,0.4004,0.3849,0.41908,0.3992,0.4427,0.4101,0.44926,0.4089
32,False,0.5281999707221985,0.4586000144481659,0.39646,0.3809,0.45102,0.4336,0.45702,0.4283,0.4745,0.4389,0.50738,0.4512,0.52402,0.4531
32,False,0.49928000569343567,0.43799999356269836,0.38136,0.3709,0.4484,0.4291,0.43492,0.4135,0.4559,0.4283,0.48424,0.4435,0.49214,0.4416
32,False,0.4385400116443634,0.40450000762939453,0.34078,0.3294,0.40782,0.3916,0.3973,0.3781,0.40908,0.3866,0.43018,0.4042,0.4319,0.4023
32,False,0.4514999985694885,0.4108999967575073,0.34148,0.329,0.40532,0.3914,0.4061,0.3851,0.4113,0.3844,0.4348,0.4008,0.44554,0.4066
32,False,0.5262600183486938,0.4465000033378601,0.38756,0.3793,0.45384,0.4384,0.4528,0.4325,0.47148,0.4401,0.5022,0.4571,0.51002,0.4501
32,False,0.44363999366760254,0.4034000039100647,0.33906,0.3282,0.39834,0.3801,0.3929,0.3759,0.40476,0.3854,0.4337,0.402,0.43798,0.3967
32,False,0.5171599984169006,0.45320001244544983,0.38536,0.3712,0.44498,0.4297,0.45222,0.4318,0.45916,0.4351,0.49554,0.4502,0.50692,0.4459
32,False,0.5259799957275391,0.4602999985218048,0.39092,0.3784,0.45008,0.4296,0.45404,0.4319,0.46896,0.4369,0.50412,0.457,0.52106,0.4635
32,False,0.5249599814414978,0.44699999690055847,0.3935,0.3825,0.4566,0.4401,0.45524,0.4337,0.47038,0.4445,0.5011,0.4555,0.50784,0.456
32,False,0.501579999923706,0.4392000138759613,0.37602,0.367,0.43832,0.4225,0.432,0.4114,0.44626,0.4221,0.4776,0.4385,0.48896,0.4382
32,False,0.5448200106620789,0.4724000096321106,0.4096,0.3941,0.46744,0.4435,0.46906,0.4362,0.49504,0.4502,0.52328,0.4649,0.52484,0.4556
64,True,0.6139000058174133,0.4733999967575073,0.4135,0.3964,0.4773,0.4518,0.48948,0.4579,0.52278,0.4679,0.5511,0.4808,0.57674,0.4723
64,True,0.5818600058555603,0.4652000069618225,0.39916,0.3846,0.45938,0.4418,0.46476,0.446,0.50212,0.4564,0.5285,0.4686,0.55904,0.4656
64,True,0.6208800077438354,0.47119998931884766,0.42094,0.4035,0.47856,0.4584,0.49526,0.4581,0.5208,0.4709,0.55364,0.4825,0.59008,0.4757
64,True,0.6168799996376038,0.4745999872684479,0.412,0.3981,0.4762,0.4518,0.48996,0.4594,0.51832,0.4736,0.55204,0.4843,0.58566,0.4763
64,True,0.5860599875450134,0.47510001063346863,0.40242,0.3865,0.4656,0.4483,0.4728,0.449,0.50146,0.466,0.53952,0.4762,0.5729,0.4713
64,True,0.6182199716567993,0.4787999987602234,0.42248,0.4041,0.4747,0.4504,0.49544,0.462,0.52958,0.4719,0.56406,0.4828,0.59552,0.4751
64,True,0.6229400038719177,0.47699999809265137,0.42366,0.403,0.4804,0.4546,0.4935,0.4561,0.52518,0.4716,0.55418,0.4829,0.58274,0.482
64,True,0.6157400012016296,0.48399999737739563,0.4136,0.3939,0.4713,0.4523,0.49044,0.4561,0.5194,0.4693,0.5497,0.4822,0.57392,0.4795
