frozen,train_accuracy,val_accuracy,layer_0_training_separability_train,layer_0_testing_separability_train,layer_0_testing_separability_test,layer_0_training_separability_test,layer_1_training_separability_train,layer_1_testing_separability_train,layer_1_testing_separability_test,layer_1_training_separability_test,layer_2_training_separability_train,layer_2_testing_separability_train,layer_2_testing_separability_test,layer_2_training_separability_test,layer_3_training_separability_train,layer_3_testing_separability_train,layer_3_testing_separability_test,layer_3_training_separability_test,layer_4_training_separability_train,layer_4_testing_separability_train,layer_4_testing_separability_test,layer_4_training_separability_test,layer_5_training_separability_train,layer_5_testing_separability_train,layer_5_testing_separability_test,layer_5_training_separability_test
True,0.9968500137329102,0.9739000201225281,0.9248833333333333,0.9216,0.9241,0.9205833333333333,0.9601833333333334,0.9501,0.9528,0.95545,0.9783,0.959,0.9614,0.9765666666666667,0.9927,0.9695,0.97,0.9915,0.99635,0.9735,0.9752,0.9951166666666666,0.9971,0.9738,0.9741,0.9968666666666667
True,0.9975833296775818,0.974399983882904,0.9254166666666667,0.9257,0.9266,0.9193333333333333,0.9664333333333334,0.9568,0.9589,0.9617333333333333,0.9827833333333333,0.9673,0.9683,0.9805833333333334,0.9929666666666667,0.9743,0.9746,0.9920833333333333,0.99655,0.9763,0.978,0.9959833333333333,0.9973833333333333,0.974,0.9754,0.9974666666666666
True,0.9971333146095276,0.9769999980926514,0.9310666666666667,0.9307,0.9303,0.9256666666666666,0.9654166666666667,0.9563,0.9583,0.9610166666666666,0.9867666666666667,0.9691,0.9694,0.9856166666666667,0.9961833333333333,0.9764,0.9771,0.9956,0.9984333333333333,0.9789,0.98,0.9978,0.999,0.9776,0.978,0.99865
True,0.9971666932106018,0.9764000177383423,0.9307666666666666,0.925,0.9281,0.9253333333333333,0.9652333333333334,0.9536,0.9585,0.9616666666666667,0.9873166666666666,0.9692,0.9699,0.9862333333333333,0.9945833333333334,0.9728,0.974,0.99395,0.9978,0.9757,0.9779,0.9971666666666666,0.9978833333333333,0.9757,0.9768,0.9978
True,0.9965833425521851,0.970300018787384,0.9390833333333334,0.9323,0.9339,0.9334833333333333,0.96605,0.9546,0.9576,0.9620333333333333,0.9820166666666666,0.9663,0.9649,0.9795,0.9922333333333333,0.9708,0.9725,0.9917333333333334,0.9957166666666667,0.9741,0.9751,0.9947,0.9955,0.9732,0.9739,0.9950666666666667
True,0.9969666600227356,0.9750999808311462,0.9296666666666666,0.9288,0.9271,0.9216833333333333,0.9645,0.9564,0.9589,0.95935,0.9839333333333333,0.9673,0.9681,0.98175,0.9951833333333333,0.9744,0.9754,0.9942666666666666,0.99775,0.9768,0.9771,0.9963,0.99815,0.9753,0.9752,0.9977333333333334
True,0.9969499707221985,0.9772999882698059,0.9272833333333333,0.9274,0.9272,0.9204166666666667,0.9630166666666666,0.9529,0.9549,0.95925,0.9846833333333334,0.9688,0.9705,0.9825333333333334,0.9941333333333333,0.9758,0.9757,0.99265,0.99715,0.9774,0.9785,0.9961166666666667,0.9978833333333333,0.9777,0.9781,0.99755
True,0.9969666600227356,0.9742000102996826,0.9285166666666667,0.9238,0.9248,0.9230166666666667,0.96045,0.9498,0.9533,0.95685,0.9797666666666667,0.9634,0.9644,0.9782166666666666,0.9916166666666667,0.9711,0.9722,0.9909333333333333,0.9961333333333333,0.975,0.9771,0.9949,0.9964,0.9751,0.9759,0.9957666666666667
True,0.9967333078384399,0.9764999747276306,0.9313666666666667,0.928,0.9308,0.9274166666666667,0.96385,0.9525,0.9546,0.9582166666666667,0.9834333333333334,0.9652,0.9654,0.9807166666666667,0.99395,0.9749,0.9755,0.9929333333333333,0.9972666666666666,0.9757,0.9771,0.9964333333333333,0.99825,0.976,0.9759,0.9979333333333333
True,0.9971166849136353,0.9782999753952026,0.9317166666666666,0.9274,0.9292,0.92575,0.96685,0.9553,0.9584,0.9629833333333333,0.98765,0.9719,0.9733,0.9864666666666667,0.9949166666666667,0.9753,0.9761,0.99335,0.9978833333333333,0.9781,0.9797,0.9968,0.9979333333333333,0.977,0.9778,0.9977833333333334
