position,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
alternating,True,0.9973000288009644,0.972000002861023,0.9337833333333333,0.9324,0.9641833333333333,0.9529,0.9831333333333333,0.9637,0.9937666666666667,0.9709,0.9965666666666667,0.9739,0.9971666666666666,0.9738
alternating,True,0.9973166584968567,0.9724000096321106,0.9335,0.9322,0.9664,0.9562,0.984,0.9673,0.9941166666666666,0.9738,0.9962666666666666,0.9749,0.9964333333333333,0.9741
alternating,True,0.9968666434288025,0.9735000133514404,0.93445,0.9302,0.9628666666666666,0.953,0.9816666666666667,0.9636,0.9933333333333333,0.9716,0.997,0.976,0.9975166666666667,0.9762
alternating,True,0.9971500039100647,0.9742000102996826,0.9331833333333334,0.925,0.9619333333333333,0.9532,0.9832333333333333,0.9661,0.9922333333333333,0.972,0.99625,0.9747,0.9961833333333333,0.9746
alternating,True,0.9967166781425476,0.973800003528595,0.92075,0.9225,0.9617,0.9533,0.9810666666666666,0.966,0.9943833333333333,0.9759,0.9968833333333333,0.9776,0.99725,0.9749
alternating,True,0.9977166652679443,0.9739000201225281,0.9302666666666667,0.9273,0.9644,0.951,0.9848,0.966,0.9922333333333333,0.9717,0.9965,0.9738,0.99685,0.9726
alternating,True,0.9976166486740112,0.9731000065803528,0.9220833333333334,0.922,0.9616666666666667,0.9505,0.9795666666666667,0.9647,0.9939,0.9736,0.99695,0.9748,0.9966333333333334,0.9731
alternating,True,0.9967166781425476,0.9787999987602234,0.9347,0.9295,0.9667,0.9545,0.9824166666666667,0.9641,0.9945666666666667,0.9738,0.9971166666666667,0.9757,0.9981666666666666,0.9781
alternating,True,0.9965999722480774,0.9700000286102295,0.9333833333333333,0.9296,0.9649166666666666,0.9543,0.98235,0.9626,0.9916,0.9694,0.9961333333333333,0.9729,0.9962666666666666,0.9724
alternating,True,0.9965333342552185,0.973800003528595,0.9251,0.926,0.9577,0.9472,0.9795833333333334,0.9651,0.9928833333333333,0.971,0.9971166666666667,0.9769,0.99675,0.9743
alternating,True,0.9987666606903076,0.9740999937057495,0.9311,0.9302,0.9677166666666667,0.9578,0.9862333333333333,0.9681,0.99445,0.9719,0.9968,0.9743,0.9973833333333333,0.9756
alternating,True,0.9970333576202393,0.9764999747276306,0.91995,0.9189,0.9654333333333334,0.9562,0.9834,0.9665,0.99245,0.9718,0.9962666666666666,0.9758,0.9974833333333334,0.9762
alternating,True,0.9969833493232727,0.9760000109672546,0.9301,0.9266,0.96525,0.9558,0.9844833333333334,0.9666,0.9942,0.9728,0.99755,0.9761,0.9979833333333333,0.9754
alternating,True,0.997783362865448,0.9753000140190125,0.9368,0.9326,0.9648,0.9545,0.9849,0.9653,0.9947,0.9747,0.9976,0.9755,0.9976833333333334,0.9748
alternating,True,0.996833324432373,0.9677000045776367,0.9314166666666667,0.9293,0.96415,0.9533,0.9813,0.9645,0.9931166666666666,0.9735,0.9969,0.9745,0.9959333333333333,0.9734
alternating,True,0.9966999888420105,0.9761999845504761,0.9376333333333333,0.935,0.9665,0.9559,0.9835,0.9655,0.9938833333333333,0.9729,0.9977,0.9762,0.9987666666666667,0.9772
alternating,True,0.9971833229064941,0.9728999733924866,0.92825,0.9248,0.9597666666666667,0.949,0.97865,0.9599,0.9911166666666666,0.9706,0.9952333333333333,0.9736,0.9963666666666666,0.9744
alternating,True,0.9965500235557556,0.9761000275611877,0.92345,0.9267,0.9602666666666667,0.9515,0.9831166666666666,0.9668,0.9933833333333333,0.9735,0.9973333333333333,0.9748,0.9981,0.9746
alternating,True,0.9964333176612854,0.975600004196167,0.9308166666666666,0.9271,0.9651666666666666,0.9525,0.9825833333333334,0.9657,0.9915166666666667,0.9727,0.9971666666666666,0.9756,0.9971166666666667,0.975
alternating,True,0.9979833364486694,0.9702000021934509,0.9325333333333333,0.9289,0.9638166666666667,0.9551,0.98275,0.9647,0.99025,0.9704,0.9945,0.9743,0.9933833333333333,0.9715
alternating,True,0.996833324432373,0.973800003528595,0.93035,0.9281,0.9631833333333333,0.9502,0.9831333333333333,0.9652,0.9927166666666667,0.972,0.99675,0.9747,0.9963166666666666,0.9723
alternating,True,0.9966333508491516,0.9753999710083008,0.9271,0.9208,0.9649333333333333,0.9545,0.9825833333333334,0.9623,0.9922666666666666,0.9711,0.9964166666666666,0.9752,0.99815,0.9752
alternating,True,0.9976999759674072,0.9753000140190125,0.9237833333333333,0.9264,0.9656666666666667,0.9558,0.9858333333333333,0.9672,0.99505,0.9739,0.9976333333333334,0.9755,0.9985333333333334,0.976
alternating,True,0.9971333146095276,0.9711999893188477,0.9244833333333333,0.9233,0.95865,0.9481,0.9807,0.966,0.99145,0.9728,0.9950166666666667,0.9758,0.9951,0.9729
alternating,True,0.9967166781425476,0.9700999855995178,0.9309333333333333,0.9303,0.9653166666666667,0.955,0.9817833333333333,0.9626,0.99385,0.9722,0.9964166666666666,0.9738,0.9967666666666667,0.9732
alternating,False,0.9972666501998901,0.9772999882698059,0.9477833333333333,0.9408,0.98655,0.9715,0.9937166666666667,0.9748,0.9961666666666666,0.9775,0.9968833333333333,0.9766,0.9968333333333333,0.9757
alternating,False,0.9975166916847229,0.9783999919891357,0.9440833333333334,0.9392,0.9864666666666667,0.9738,0.9970333333333333,0.981,0.9983,0.9808,0.99875,0.9792,0.9986833333333334,0.9795
alternating,False,0.9979000091552734,0.9804999828338623,0.9474666666666667,0.9429,0.9853833333333334,0.9724,0.9945666666666667,0.9766,0.99805,0.9795,0.9982,0.9779,0.9981,0.9782
alternating,False,0.9973833560943604,0.9805999994277954,0.94505,0.9422,0.9877166666666667,0.9719,0.9963666666666666,0.9773,0.9987333333333334,0.981,0.9989666666666667,0.9809,0.9990833333333333,0.9812
alternating,False,0.9977166652679443,0.977400004863739,0.94905,0.9401,0.9854833333333334,0.9716,0.99315,0.9751,0.9963666666666666,0.9761,0.9967833333333334,0.9755,0.9963166666666666,0.9763
alternating,False,0.9978166818618774,0.978600025177002,0.9478666666666666,0.9416,0.988,0.9719,0.9964166666666666,0.9769,0.9979166666666667,0.9773,0.9987,0.9771,0.9983333333333333,0.9776
alternating,False,0.9977333545684814,0.9778000116348267,0.9464333333333333,0.9435,0.98675,0.9723,0.9955666666666667,0.9788,0.9979833333333333,0.9788,0.9985833333333334,0.979,0.9982666666666666,0.9781
alternating,False,0.9978166818618774,0.9794999957084656,0.9414666666666667,0.938,0.988,0.9719,0.9961,0.9758,0.9983,0.9778,0.999,0.9776,0.99865,0.9782
alternating,False,0.996916651725769,0.9797999858856201,0.94545,0.9397,0.9867,0.9725,0.9961,0.979,0.99725,0.9801,0.99835,0.9803,0.9979666666666667,0.9786
alternating,False,0.9971666932106018,0.9799000024795532,0.9382166666666667,0.9364,0.9867333333333334,0.9726,0.9949833333333333,0.9775,0.9980166666666667,0.9792,0.9983666666666666,0.9787,0.9979333333333333,0.9781
alternating,False,0.9973333477973938,0.9758999943733215,0.9501833333333334,0.943,0.9878166666666667,0.9701,0.9958333333333333,0.9769,0.9969833333333333,0.9742,0.9972333333333333,0.9755,0.9969833333333333,0.9753
alternating,False,0.9980166554450989,0.9782999753952026,0.9494666666666667,0.943,0.9862,0.9727,0.9958166666666667,0.9762,0.9979,0.9767,0.9982,0.9778,0.9979666666666667,0.9776
alternating,False,0.9970499873161316,0.975600004196167,0.9450833333333334,0.94,0.9839166666666667,0.97,0.9939833333333333,0.9743,0.9961166666666667,0.9767,0.99605,0.9757,0.9956833333333334,0.9751
alternating,False,0.998199999332428,0.9768000245094299,0.9432666666666667,0.9373,0.9886666666666667,0.9737,0.9958333333333333,0.9757,0.9980333333333333,0.9782,0.9983666666666666,0.978,0.9980333333333333,0.9761
alternating,False,0.9975000023841858,0.9781000018119812,0.9438833333333333,0.9386,0.9856,0.9715,0.9936166666666667,0.9781,0.9963666666666666,0.9792,0.99705,0.9788,0.99665,0.9785
alternating,False,0.9977499842643738,0.9793999791145325,0.9428166666666666,0.9362,0.98525,0.9686,0.9962833333333333,0.9784,0.99825,0.98,0.9980166666666667,0.9779,0.9985,0.9781
alternating,False,0.9979166388511658,0.9811000227928162,0.9371333333333334,0.9373,0.9867166666666667,0.9742,0.9951833333333333,0.9784,0.9983333333333333,0.9794,0.9988666666666667,0.9795,0.9987833333333334,0.98
alternating,False,0.9972166419029236,0.9749000072479248,0.9464,0.9419,0.9865166666666667,0.9708,0.9943333333333333,0.9768,0.9965166666666667,0.9767,0.9973833333333333,0.977,0.9972166666666666,0.9762
alternating,False,0.9973666667938232,0.9764000177383423,0.9482666666666667,0.9412,0.9853666666666666,0.9708,0.9957333333333334,0.9762,0.9971833333333333,0.9791,0.998,0.9785,0.99775,0.9789
alternating,False,0.9973333477973938,0.9794999957084656,0.9406833333333333,0.9364,0.98555,0.969,0.9943166666666666,0.976,0.9968166666666667,0.9789,0.9979666666666667,0.9797,0.9973833333333333,0.9789
alternating,False,0.9973666667938232,0.9772999882698059,0.9488333333333333,0.9415,0.98685,0.9736,0.99575,0.9764,0.9974833333333334,0.9781,0.9985666666666667,0.9775,0.9980833333333333,0.9763
alternating,False,0.9971500039100647,0.9803000092506409,0.9518666666666666,0.9454,0.9889,0.974,0.9965666666666667,0.9793,0.9973,0.9794,0.99835,0.98,0.9986666666666667,0.9798
alternating,False,0.9973499774932861,0.9782000184059143,0.9465333333333333,0.9383,0.9857666666666667,0.9699,0.9951333333333333,0.9755,0.9980166666666667,0.9769,0.9986666666666667,0.9788,0.9985333333333334,0.9779
alternating,False,0.9971833229064941,0.9768999814987183,0.9422,0.9381,0.9850166666666667,0.9683,0.9946,0.9751,0.9968,0.9764,0.9971833333333333,0.9769,0.9972333333333333,0.977
alternating,False,0.9977333545684814,0.9746000170707703,0.9484,0.9409,0.9853666666666666,0.9691,0.99545,0.9751,0.9972166666666666,0.9765,0.9974666666666666,0.9757,0.9975166666666667,0.9765
front,True,0.9832166433334351,0.9200999736785889,0.82685,0.8351,0.7857333333333333,0.7948,0.8580333333333333,0.8569,0.9079833333333334,0.8888,0.9428833333333333,0.9101,0.9599166666666666,0.9128
front,True,0.9817166924476624,0.9296000003814697,0.8357166666666667,0.8449,0.8023333333333333,0.8116,0.86275,0.8559,0.91095,0.8932,0.9403666666666667,0.9129,0.9635666666666667,0.9226
front,True,0.9801999926567078,0.9212999939918518,0.82645,0.8366,0.7967666666666666,0.8051,0.8533833333333334,0.8539,0.9012666666666667,0.8868,0.93295,0.9061,0.95635,0.9185
front,True,0.9794999957084656,0.9161999821662903,0.8255333333333333,0.8304,0.7932333333333333,0.7959,0.8532666666666666,0.8454,0.9067333333333333,0.8853,0.9408666666666666,0.9024,0.9639833333333333,0.9154
front,True,0.9807000160217285,0.9246000051498413,0.8245666666666667,0.8338,0.7917333333333333,0.801,0.8638833333333333,0.8594,0.9104666666666666,0.8917,0.9405,0.908,0.9639666666666666,0.9233
front,True,0.9809666872024536,0.9204999804496765,0.8301166666666666,0.8416,0.7913333333333333,0.804,0.8677333333333334,0.8653,0.9063,0.8862,0.9448,0.9115,0.9633833333333334,0.9145
front,True,0.9810000061988831,0.9199000000953674,0.8302666666666667,0.8365,0.7909666666666667,0.7999,0.85805,0.8582,0.90505,0.8867,0.9344,0.9032,0.96485,0.9146
front,True,0.9798499941825867,0.9253000020980835,0.8312666666666667,0.8389,0.7847,0.7905,0.8658666666666667,0.8596,0.9052166666666667,0.8889,0.9394,0.9105,0.95945,0.9197
front,True,0.9774333238601685,0.9262999892234802,0.8339666666666666,0.8415,0.80225,0.8131,0.854,0.8552,0.9089333333333334,0.8933,0.9356333333333333,0.9066,0.9592333333333334,0.9188
front,True,0.977649986743927,0.9272000193595886,0.83045,0.8393,0.7774166666666666,0.784,0.85095,0.8473,0.8992666666666667,0.8836,0.9353333333333333,0.9051,0.9606333333333333,0.9179
front,True,0.9774500131607056,0.92330002784729,0.8295,0.8324,0.8012666666666667,0.8034,0.8588,0.8575,0.8985666666666666,0.8823,0.9368166666666666,0.9084,0.9637666666666667,0.9209
front,True,0.9811833500862122,0.9176999926567078,0.82855,0.835,0.7900833333333334,0.7944,0.8455833333333334,0.8454,0.8943166666666666,0.8787,0.9345833333333333,0.8978,0.95535,0.9106
front,True,0.9805333614349365,0.9265999794006348,0.83075,0.8434,0.8054333333333333,0.8141,0.8598833333333333,0.8562,0.9105166666666666,0.8956,0.94215,0.9105,0.9646,0.9204
front,True,0.9833666682243347,0.9291999936103821,0.8318,0.8439,0.7983333333333333,0.8077,0.86265,0.8551,0.90725,0.8946,0.9428333333333333,0.9181,0.9632166666666667,0.9244
front,True,0.9815999865531921,0.9279999732971191,0.8411333333333333,0.852,0.8057833333333333,0.8154,0.8738,0.8749,0.9169,0.9011,0.9495666666666667,0.9194,0.9673166666666667,0.9272
front,True,0.9831333160400391,0.9203000068664551,0.82935,0.8364,0.7967,0.808,0.8627333333333334,0.8599,0.9046,0.883,0.9378333333333333,0.9107,0.9590666666666666,0.9212
front,True,0.9800333380699158,0.921500027179718,0.8260333333333333,0.8327,0.7945166666666666,0.811,0.8607333333333334,0.8593,0.9049833333333334,0.8923,0.9390666666666667,0.9099,0.96325,0.92
front,True,0.981333315372467,0.9169999957084656,0.8317166666666667,0.8375,0.8005166666666667,0.8071,0.8526333333333334,0.847,0.9015666666666666,0.886,0.93975,0.9106,0.9616833333333333,0.9182
front,True,0.9823833107948303,0.9301999807357788,0.83115,0.837,0.8027833333333333,0.8115,0.8747833333333334,0.8723,0.9127833333333333,0.8968,0.9470833333333334,0.9162,0.9701,0.9255
front,True,0.9835000038146973,0.9248999953269958,0.8341,0.8371,0.8040666666666667,0.8069,0.8645833333333334,0.8634,0.9053833333333333,0.8878,0.94415,0.9158,0.9672666666666667,0.9221
front,True,0.9796500205993652,0.9236999750137329,0.8310833333333333,0.8391,0.7985166666666667,0.8072,0.8644833333333334,0.8644,0.904,0.8857,0.94375,0.911,0.9620333333333333,0.9232
front,True,0.9784166812896729,0.9222999811172485,0.8265833333333333,0.8409,0.79145,0.8045,0.8451833333333333,0.85,0.8961666666666667,0.8856,0.93675,0.9056,0.9592666666666667,0.9161
front,True,0.982616662979126,0.9301999807357788,0.8300666666666666,0.8429,0.7980833333333334,0.8041,0.8649166666666667,0.8663,0.9117833333333333,0.8955,0.9413333333333334,0.9121,0.9668666666666667,0.9231
front,True,0.980816662311554,0.9273999929428101,0.8362,0.8415,0.8057,0.8141,0.8611666666666666,0.8542,0.91315,0.8961,0.94695,0.9149,0.9657833333333333,0.9231
front,True,0.9807999730110168,0.9283000230789185,0.8324666666666667,0.8419,0.7977666666666666,0.8096,0.8607,0.8617,0.9030833333333333,0.8878,0.9396666666666667,0.9109,0.95825,0.9188
front,False,0.9979833364486694,0.9783999919891357,0.9643166666666667,0.9561,0.99135,0.9731,0.9957166666666667,0.9777,0.9973333333333333,0.9797,0.9966333333333334,0.9792,0.9966,0.9776
front,False,0.9987833499908447,0.9811999797821045,0.9695333333333334,0.9592,0.99445,0.977,0.9978333333333333,0.9788,0.9990666666666667,0.9801,0.9992166666666666,0.98,0.9988333333333334,0.9794
front,False,0.9984999895095825,0.9796000123023987,0.9694166666666667,0.9609,0.9925666666666667,0.9755,0.9978333333333333,0.9792,0.9987166666666667,0.9801,0.99885,0.9812,0.9984833333333333,0.9778
front,False,0.9986833333969116,0.9811999797821045,0.96875,0.9573,0.9941333333333333,0.9771,0.9978833333333333,0.9818,0.99875,0.9807,0.9990833333333333,0.9821,0.9986166666666667,0.9806
front,False,0.9980833530426025,0.9801999926567078,0.9662833333333334,0.9575,0.99325,0.9782,0.99715,0.9793,0.99785,0.9809,0.9981,0.9797,0.9975333333333334,0.9788
front,False,0.9980833530426025,0.9807000160217285,0.968,0.9576,0.9934833333333334,0.9768,0.99805,0.9789,0.99915,0.9802,0.99865,0.9794,0.9983333333333333,0.9786
front,False,0.9977666735649109,0.979200005531311,0.9654,0.9547,0.9940333333333333,0.9757,0.99835,0.9801,0.999,0.9801,0.99865,0.9804,0.9984666666666666,0.9799
front,False,0.9983833432197571,0.98089998960495,0.9705666666666667,0.9576,0.9941166666666666,0.9774,0.9981666666666666,0.9811,0.9990666666666667,0.982,0.999,0.9809,0.9986833333333334,0.9806
front,False,0.9983000159263611,0.9805999994277954,0.9658833333333333,0.9518,0.9919833333333333,0.9769,0.9980166666666667,0.9807,0.9987666666666667,0.981,0.9989,0.9813,0.9983,0.9798
front,False,0.9982166886329651,0.9796000123023987,0.9682333333333333,0.9573,0.99465,0.9766,0.99815,0.9802,0.9990833333333333,0.9808,0.9989,0.98,0.99905,0.9796
front,False,0.9988166689872742,0.9757999777793884,0.966,0.9565,0.9930833333333333,0.976,0.9964166666666666,0.9763,0.9971333333333333,0.978,0.9960333333333333,0.9768,0.9967333333333334,0.9759
front,False,0.9971500039100647,0.9814000129699707,0.96535,0.9578,0.9909,0.975,0.9983,0.9805,0.9984833333333333,0.979,0.9983666666666666,0.9803,0.9983,0.9799
front,False,0.9991499781608582,0.980400025844574,0.9668833333333333,0.9598,0.9934666666666667,0.9753,0.9981833333333333,0.9799,0.9986666666666667,0.9794,0.9986166666666667,0.977,0.9984166666666666,0.9775
front,False,0.9984999895095825,0.9789999723434448,0.9653166666666667,0.9587,0.9935166666666667,0.9753,0.9971833333333333,0.9789,0.9988833333333333,0.9807,0.9985,0.9791,0.9987,0.9795
front,False,0.998449981212616,0.9779000282287598,0.97095,0.9585,0.99355,0.9781,0.9977166666666667,0.9798,0.9981666666666666,0.9793,0.9983166666666666,0.9804,0.9972833333333333,0.9783
front,False,0.9977999925613403,0.9771000146865845,0.9614833333333334,0.9534,0.9918333333333333,0.9757,0.9970666666666667,0.9789,0.9978,0.9793,0.9976666666666667,0.9784,0.9974333333333333,0.9775
front,False,0.9982500076293945,0.9818999767303467,0.96735,0.9578,0.9915166666666667,0.9778,0.9972666666666666,0.9799,0.9979333333333333,0.9809,0.9971666666666666,0.9818,0.9966333333333334,0.9799
front,False,0.9984333515167236,0.9804999828338623,0.9681666666666666,0.9601,0.9923833333333333,0.9779,0.9972666666666666,0.9806,0.9975,0.9813,0.99765,0.9804,0.9971,0.9791
front,False,0.9977999925613403,0.9761000275611877,0.9680166666666666,0.9571,0.9923,0.9765,0.99645,0.9791,0.9975166666666667,0.9801,0.99695,0.9793,0.9968833333333333,0.9777
front,False,0.9979166388511658,0.9803000092506409,0.9679833333333333,0.9596,0.9923166666666666,0.9776,0.9967333333333334,0.9808,0.9983333333333333,0.9809,0.9982666666666666,0.9803,0.9974333333333333,0.9782
