regularization,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
l1_0.001,True,0.956849992275238,0.9528999924659729,0.91975,0.9228,0.94945,0.9498,0.9157166666666666,0.919,0.9314,0.9311,0.96175,0.9599,0.9564166666666667,0.9546
l1_0.001,True,0.9556333422660828,0.9528999924659729,0.924,0.9239,0.9524166666666667,0.9529,0.9273,0.9275,0.9192,0.9173,0.9628666666666666,0.96,0.9438,0.9439
l1_0.001,True,0.956849992275238,0.9574999809265137,0.9189333333333334,0.9194,0.9542666666666667,0.9538,0.92175,0.9247,0.9367666666666666,0.9367,0.9625333333333334,0.9596,0.95395,0.9535
l1_0.001,True,0.9540666937828064,0.9524999856948853,0.9180166666666667,0.9188,0.9491166666666667,0.9487,0.9309833333333334,0.9274,0.9270833333333334,0.925,0.9615166666666667,0.956,0.9525166666666667,0.95
l1_0.001,True,0.9575333595275879,0.953000009059906,0.9185333333333333,0.9225,0.9471666666666667,0.9483,0.9122833333333333,0.9133,0.9252333333333334,0.923,0.96075,0.9626,0.9434666666666667,0.9437
l1_0.001,True,0.95660001039505,0.9460999965667725,0.9301,0.9316,0.9557333333333333,0.9553,0.9438333333333333,0.9409,0.9306,0.9317,0.9636166666666667,0.9579,0.9542166666666667,0.9513
l1_0.001,True,0.9556833505630493,0.9611999988555908,0.9256666666666666,0.9305,0.9536833333333333,0.953,0.9282,0.9324,0.93415,0.9364,0.9639666666666666,0.9626,0.9595833333333333,0.9569
l1_0.001,True,0.9557833075523376,0.9607999920845032,0.9238333333333333,0.9209,0.9521166666666666,0.9523,0.9384333333333333,0.9366,0.9352333333333334,0.9314,0.9655666666666667,0.9623,0.9537,0.9495
l1_0.001,True,0.9557333588600159,0.9412999749183655,0.9212,0.9228,0.9478166666666666,0.948,0.9321166666666667,0.9299,0.9252166666666667,0.9265,0.9625333333333334,0.9592,0.9521666666666667,0.951
l1_0.001,True,0.955299973487854,0.9581000208854675,0.9210666666666667,0.9217,0.94985,0.9479,0.9417,0.9414,0.9272666666666667,0.9246,0.965,0.9618,0.9504833333333333,0.9477
l1_0.001,True,0.9560166597366333,0.9611999988555908,0.9233666666666667,0.9261,0.9525333333333333,0.954,0.9327833333333333,0.9366,0.9328333333333333,0.9325,0.96515,0.9657,0.9553666666666667,0.9551
l1_0.001,True,0.9537833333015442,0.9517999887466431,0.9155,0.9195,0.9509333333333333,0.9492,0.9371833333333334,0.9365,0.9282,0.9262,0.9625,0.9572,0.9473333333333334,0.9452
l1_0.001,True,0.9559166431427002,0.9542999863624573,0.9179166666666667,0.9193,0.9461833333333334,0.9458,0.9320833333333334,0.9311,0.92315,0.9178,0.9629666666666666,0.9594,0.95305,0.9506
l1_0.001,True,0.9547333121299744,0.95169997215271,0.9141333333333334,0.9161,0.94665,0.9456,0.91745,0.9221,0.9314,0.9301,0.9596833333333333,0.9589,0.9470333333333333,0.9469
l1_0.001,True,0.9567166566848755,0.9567000269889832,0.9188833333333334,0.9215,0.949,0.9504,0.9233166666666667,0.9215,0.9313666666666667,0.9305,0.96295,0.9598,0.94955,0.947
l1_0.001,True,0.9555833339691162,0.9603000283241272,0.92435,0.9271,0.94825,0.9466,0.9441666666666667,0.9406,0.9248833333333333,0.927,0.9636833333333333,0.9595,0.9567833333333333,0.9513
l1_0.001,True,0.9581999778747559,0.9562000036239624,0.92645,0.9249,0.9462666666666667,0.9464,0.9157833333333333,0.9144,0.9308666666666666,0.9272,0.9612166666666667,0.9566,0.9546166666666667,0.9511
l1_0.001,True,0.9565666913986206,0.95660001039505,0.9254166666666667,0.9249,0.9519,0.9501,0.9452,0.9444,0.93015,0.9301,0.9630333333333333,0.9624,0.9546166666666667,0.9519
l1_0.001,True,0.9549499750137329,0.9602000117301941,0.9198666666666667,0.921,0.9485333333333333,0.9493,0.8797,0.8807,0.9324833333333333,0.9353,0.9637166666666667,0.9606,0.9542,0.9541
l1_0.001,True,0.9549000263214111,0.9571999907493591,0.9232166666666667,0.9208,0.9487,0.9457,0.91085,0.9118,0.9023666666666667,0.8992,0.96215,0.9579,0.9454666666666667,0.9433
l1_0.001,True,0.9542999863624573,0.9495000243186951,0.9259833333333334,0.9261,0.9466833333333333,0.9474,0.88215,0.8837,0.9394833333333333,0.9396,0.9612,0.9605,0.9514333333333334,0.9527
l1_0.001,True,0.956933319568634,0.9531000256538391,0.9224333333333333,0.9233,0.9509666666666666,0.9487,0.9203166666666667,0.9183,0.92955,0.9261,0.9637333333333333,0.9605,0.9514833333333333,0.95
l1_0.001,True,0.9566333293914795,0.9595999717712402,0.9204666666666667,0.9224,0.9503666666666667,0.9503,0.9264833333333333,0.9243,0.9386333333333333,0.9362,0.96375,0.9622,0.9524,0.9496
l1_0.001,True,0.9548333287239075,0.9438999891281128,0.9211666666666667,0.927,0.9479833333333333,0.9474,0.9282166666666667,0.9275,0.9367333333333333,0.9363,0.9639166666666666,0.9595,0.9481333333333334,0.9443
l1_0.001,True,0.9549999833106995,0.9495000243186951,0.9254166666666667,0.9234,0.94915,0.9483,0.9168166666666666,0.9183,0.9366333333333333,0.9347,0.96395,0.961,0.9554333333333334,0.9534
l1_0.001,False,0.9577666521072388,0.9577000141143799,0.90515,0.911,0.9178666666666667,0.9214,0.9260666666666667,0.9258,0.9218333333333333,0.9215,0.8964666666666666,0.8994,0.9245166666666667,0.9239
l1_0.001,False,0.9555500149726868,0.9569000005722046,0.9002,0.905,0.9189,0.9205,0.9211,0.9236,0.928,0.927,0.93195,0.9324,0.94475,0.946
l1_0.001,False,0.9505833387374878,0.9488999843597412,0.8958,0.8969,0.9022666666666667,0.9016,0.9095666666666666,0.9097,0.9141,0.9159,0.9157166666666666,0.9175,0.9487833333333333,0.9466
l1_0.001,False,0.9562666416168213,0.9477999806404114,0.9152833333333333,0.9116,0.9062833333333333,0.9027,0.9076833333333333,0.9037,0.9089166666666667,0.9026,0.9043833333333333,0.9017,0.9474833333333333,0.941
l1_0.001,False,0.9549499750137329,0.9517999887466431,0.9070666666666667,0.9084,0.9049166666666667,0.9083,0.9035,0.9036,0.9045333333333333,0.9061,0.89955,0.9028,0.9494,0.9458
l1_0.001,False,0.95291668176651,0.9509000182151794,0.8812666666666666,0.8875,0.9035,0.9037,0.9182166666666667,0.9135,0.93215,0.9314,0.9348166666666666,0.9307,0.9431,0.9402
l1_0.001,False,0.9505166411399841,0.954800009727478,0.8879166666666667,0.8864,0.8909833333333333,0.8875,0.9086666666666666,0.9086,0.9041166666666667,0.9029,0.8977166666666667,0.8927,0.9498,0.9468
l1_0.001,False,0.955049991607666,0.9546999931335449,0.8973833333333333,0.8996,0.9056666666666666,0.8985,0.9160166666666667,0.9136,0.9298166666666666,0.9306,0.9207833333333333,0.9214,0.9441666666666667,0.9437
l1_0.001,False,0.953249990940094,0.95169997215271,0.8896333333333334,0.8888,0.88835,0.8863,0.90275,0.9029,0.8939666666666667,0.8947,0.9120666666666667,0.9092,0.9475666666666667,0.9459
l1_0.001,False,0.9558833241462708,0.954200029373169,0.9053666666666667,0.9051,0.9054833333333333,0.9034,0.8813333333333333,0.8842,0.8815,0.8763,0.8923,0.8958,0.9524166666666667,0.9493
l1_0.001,False,0.9519500136375427,0.9477999806404114,0.8843666666666666,0.8835,0.8732166666666666,0.8761,0.8949,0.8909,0.8857166666666667,0.8801,0.8907833333333334,0.8889,0.9434166666666667,0.9417
l1_0.001,False,0.9555166959762573,0.9639000296592712,0.8968333333333334,0.9005,0.9204833333333333,0.9259,0.9195666666666666,0.9232,0.91335,0.9145,0.9281166666666667,0.9301,0.9481,0.9487
l1_0.001,False,0.9564999938011169,0.9562000036239624,0.8987,0.8997,0.90075,0.9013,0.9191333333333334,0.9164,0.9205666666666666,0.9228,0.9315833333333333,0.9287,0.9502833333333334,0.9503
l1_0.001,False,0.9556999802589417,0.9581999778747559,0.9053333333333333,0.9061,0.9115333333333333,0.9134,0.9223666666666667,0.9228,0.9292,0.9301,0.9278333333333333,0.9234,0.9481,0.9476
l1_0.001,False,0.9500499963760376,0.9520000219345093,0.8938833333333334,0.8976,0.90095,0.9014,0.9133333333333333,0.9174,0.89415,0.8941,0.9271333333333334,0.9283,0.9403166666666667,0.938
l1_0.001,False,0.954716682434082,0.9575999975204468,0.8978166666666667,0.8991,0.9183666666666667,0.9181,0.9137166666666666,0.9156,0.9326166666666666,0.9311,0.9083333333333333,0.9058,0.9451333333333334,0.9447
l1_0.001,False,0.9538166522979736,0.9453999996185303,0.8906833333333334,0.8935,0.9060666666666667,0.9062,0.9121,0.9136,0.9030666666666667,0.904,0.9152166666666667,0.9181,0.9324666666666667,0.9331
l1_0.001,False,0.9530166387557983,0.9591000080108643,0.8869833333333333,0.8899,0.8855166666666666,0.8851,0.8923833333333333,0.8915,0.8951,0.9006,0.8872166666666667,0.8955,0.9445,0.9429
l1_0.001,False,0.9550333619117737,0.9534000158309937,0.89785,0.901,0.9156333333333333,0.9152,0.9212333333333333,0.9228,0.9272166666666667,0.9268,0.9444333333333333,0.944,0.9413666666666667,0.9382
l1_0.001,False,0.9542833566665649,0.9524000287055969,0.8909666666666667,0.8941,0.8982833333333333,0.9007,0.9108333333333334,0.9127,0.9165166666666666,0.9181,0.9243333333333333,0.9223,0.9461166666666667,0.9428
l1_0.001,False,0.9524000287055969,0.9580000042915344,0.9051333333333333,0.9051,0.9177833333333333,0.9226,0.90605,0.9068,0.8989333333333334,0.9033,0.90655,0.9092,0.9476,0.9462
