reservoir_layer_scaling_factor,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
0.25,True,0.9958500266075134,0.9710999727249146,0.93465,0.9286,0.9285333333333333,0.9184,0.9861166666666666,0.9669,0.9913666666666666,0.9695,0.9854333333333334,0.964,0.9961,0.9724
0.25,True,0.9957666397094727,0.9703999757766724,0.93705,0.9314,0.9352333333333334,0.9198,0.9778166666666667,0.9572,0.98725,0.963,0.9794166666666667,0.9578,0.9924333333333333,0.9686
0.25,True,0.9961166381835938,0.9715999960899353,0.9369333333333333,0.9323,0.93245,0.9197,0.986,0.966,0.9908833333333333,0.9681,0.9910166666666667,0.9674,0.9963,0.9727
0.25,True,0.9961166381835938,0.9684000015258789,0.9360833333333334,0.9328,0.9402166666666667,0.9299,0.9814666666666667,0.9605,0.9879833333333333,0.9651,0.9830333333333333,0.9627,0.9943833333333333,0.9704
0.25,True,0.996399998664856,0.9718999862670898,0.9419166666666666,0.9398,0.93745,0.9236,0.98185,0.9649,0.9928833333333333,0.9703,0.9802666666666666,0.9592,0.9961166666666667,0.9715
0.25,True,0.9954333305358887,0.968500018119812,0.93435,0.93,0.9399666666666666,0.925,0.9817666666666667,0.962,0.9907,0.9694,0.9887333333333334,0.9651,0.9959333333333333,0.9708
0.25,True,0.9962499737739563,0.9684000015258789,0.931,0.929,0.9356,0.9232,0.9800333333333333,0.9608,0.988,0.9652,0.9876,0.9608,0.9941666666666666,0.9673
0.25,True,0.9957166910171509,0.9713000059127808,0.9354166666666667,0.9346,0.9179166666666667,0.9083,0.9806833333333334,0.9611,0.9906166666666667,0.9677,0.98615,0.9638,0.996,0.9701
0.25,True,0.9965000152587891,0.9692999720573425,0.9372,0.9349,0.9402,0.927,0.9790833333333333,0.9615,0.99085,0.9687,0.9850333333333333,0.9605,0.9965,0.9702
0.25,True,0.9962999820709229,0.9713000059127808,0.9387333333333333,0.9308,0.9377,0.9306,0.9829666666666667,0.9615,0.9915,0.9682,0.9890833333333333,0.9648,0.9972,0.971
0.25,True,0.9968000054359436,0.9686999917030334,0.9348166666666666,0.9293,0.9343666666666667,0.9266,0.98,0.9604,0.9888,0.9651,0.98295,0.9581,0.9955333333333334,0.9695
0.25,True,0.9957333207130432,0.9729999899864197,0.9405333333333333,0.9351,0.9336166666666667,0.9212,0.9830833333333333,0.9643,0.9896833333333334,0.9683,0.99235,0.9693,0.9965166666666667,0.9726
0.25,True,0.9958333373069763,0.9710000157356262,0.9391,0.9356,0.92905,0.9223,0.9821166666666666,0.9636,0.9899166666666667,0.9664,0.9848166666666667,0.9624,0.99625,0.9719
0.25,True,0.9967333078384399,0.9708999991416931,0.93825,0.9342,0.9518333333333333,0.9378,0.98425,0.9621,0.9919,0.9666,0.9872333333333333,0.9621,0.9960333333333333,0.97
0.25,True,0.9962166547775269,0.9700999855995178,0.9308333333333333,0.927,0.9251666666666667,0.9164,0.9775666666666667,0.9567,0.9871666666666666,0.9645,0.9818833333333333,0.9574,0.995,0.9705
