layer_base_width,frozen,train_accuracy,val_accuracy,layer_0_train_separability,layer_0_test_separability,layer_1_train_separability,layer_1_test_separability,layer_2_train_separability,layer_2_test_separability,layer_3_train_separability,layer_3_test_separability,layer_4_train_separability,layer_4_test_separability,layer_5_train_separability,layer_5_test_separability
16,True,0.977566659450531,0.9523000121116638,0.8649666666666667,0.8647,0.9085333333333333,0.9026,0.9144,0.9074,0.92965,0.9203,0.9507,0.9344,0.962,0.9393
16,True,0.9785833358764648,0.9488999843597412,0.86945,0.8659,0.9051666666666667,0.8929,0.91215,0.9016,0.9112,0.9025,0.9610833333333333,0.9409,0.9621333333333333,0.9387
16,True,0.976016640663147,0.9538000226020813,0.8452833333333334,0.8454,0.9073833333333333,0.9062,0.8984666666666666,0.8938,0.9082833333333333,0.8969,0.9520666666666666,0.937,0.9490833333333333,0.9289
16,True,0.979283332824707,0.949400007724762,0.8531166666666666,0.8509,0.9128666666666667,0.9027,0.8992,0.8856,0.9290833333333334,0.9108,0.9525833333333333,0.9324,0.9607833333333333,0.9346
16,True,0.9779499769210815,0.954200029373169,0.8684333333333333,0.8658,0.9007333333333334,0.8971,0.9022166666666667,0.8947,0.9307333333333333,0.9222,0.9476333333333333,0.9342,0.9552833333333334,0.9394
16,True,0.9767666459083557,0.9502000212669373,0.8583,0.8637,0.9016166666666666,0.9035,0.9157166666666666,0.9023,0.9286166666666666,0.9195,0.9543,0.9379,0.9496166666666667,0.9348
16,True,0.977733314037323,0.9498000144958496,0.84555,0.8461,0.9018666666666667,0.8992,0.9122833333333333,0.9044,0.9395833333333333,0.9256,0.9497333333333333,0.9344,0.9525,0.9324
16,True,0.9790166616439819,0.9478999972343445,0.8431333333333333,0.843,0.89735,0.8984,0.89955,0.8899,0.9137166666666666,0.9011,0.9499833333333333,0.9333,0.9561166666666666,0.9361
16,True,0.9773333072662354,0.9501000046730042,0.8583333333333333,0.8609,0.8982333333333333,0.8963,0.8958,0.8935,0.92555,0.9156,0.9517166666666667,0.9326,0.96105,0.9357
16,True,0.9780166745185852,0.9545000195503235,0.8473,0.8512,0.9172166666666667,0.9095,0.9177333333333333,0.9075,0.92605,0.9121,0.9602333333333334,0.9425,0.9599333333333333,0.9411
16,True,0.9794833064079285,0.9571999907493591,0.8787,0.877,0.89785,0.8967,0.9078166666666667,0.9005,0.925,0.9119,0.9545666666666667,0.9395,0.9591,0.9435
16,True,0.9746999740600586,0.9517999887466431,0.83295,0.83,0.8912166666666667,0.8896,0.8920333333333333,0.8897,0.9147333333333333,0.9012,0.9532833333333334,0.935,0.9636,0.9436
16,True,0.9795666933059692,0.9528999924659729,0.8838333333333334,0.884,0.9171,0.9088,0.9153,0.9058,0.92265,0.9092,0.96015,0.9371,0.96225,0.9381
